FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,OneLeet Controls Requirement Title,Target ID #,OneLeet Controls Requirement Description,Notes
PE-1,PE-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. physical and environmental protection policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the physical and environmental protection policy and the associated physical and env...",medium,functional,"FedRAMP v5 Low PE-1 requires a. Develop, document, and disseminate to : 1. physical and environmental protection policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, co.... OneLeet Controls OS.PSPE.V1 requires Establish a physical security policy that outlines the organization's processes for protecting physical assets and resources.. Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Physical security policy established,OS.PSPE.V1,Establish a physical security policy that outlines the organization's processes for protecting physical assets and resources.,"Overlap: governance and policy; data protection. Divergence: FedRAMP v5 Low emphasizes environmental, pe-01, procedures; OneLeet Controls emphasizes assets, establish, established."
PE-2,PE-02 - Physical Access Authorizations,"a. Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides; b. Issue authorization credentials for facility access; c. Review the access list detailing authorized facility access by individuals ; and d. Remove individuals from the facility access list when access is no longer required. Guidance Physical access authorizations apply to employees and visitors. Individuals with permanent physical access authorization credentials are not...",medium,functional,"FedRAMP v5 Low PE-2 requires a. Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides; b. Issue authorization credentials for facility access;.... OneLeet Controls OS.PAR.V1 requires Physical access to the organization's facilities, equipment, and systems is restricted to authorized personnel only.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Physical access restricted,OS.PAR.V1,"Physical access to the organization's facilities, equipment, and systems is restricted to authorized personnel only.","Overlap: access control. Divergence: FedRAMP v5 Low emphasizes authorizations, environmental, pe-02; OneLeet Controls emphasizes restricted, authorized, equipment."
PE-3,PE-03 - Physical Access Control,"a. Enforce physical access authorizations at by: 1. Verifying individual access authorizations before granting access to the facility; and 2. Controlling ingress and egress to the facility using ; b. Maintain physical access audit logs for ; c. Control access to areas within the facility designated as publicly accessible by implementing the following controls: ; d. Escort visitors and control visitor activity ; e. Secure keys, combinations, and other physical access devices; f. Inventory ever...",high,functional,"FedRAMP v5 Low PE-3 requires a. Enforce physical access authorizations at by: 1. Verifying individual access authorizations before granting access to the facility; and 2. Controlling ingress and egress to t.... OneLeet Controls OS.PAR.V1 requires Physical access to the organization's facilities, equipment, and systems is restricted to authorized personnel only.. Both address access control. The requirements are materially equivalent in scope and intent.",equal,10,Physical access restricted,OS.PAR.V1,"Physical access to the organization's facilities, equipment, and systems is restricted to authorized personnel only.",Shared scope: access control. No material divergence detected.
PE-6,PE-06 - Monitoring Physical Access,"a. Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; b. Review physical access logs and upon occurrence of ; and c. Coordinate results of reviews and investigations with the organizational incident response capability. Guidance Physical access monitoring includes publicly accessible areas within organizational facilities. Examples of physical access monitoring include the employment of guards, video surveillance equipment (i...",high,functional,FedRAMP v5 Low PE-6 requires a. Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; b. Review physical access logs and upon occurrence of ;.... OneLeet Controls OS.PSM.V1 requires Premises shall be continuously monitored for unauthorized physical access.. Both address access control. The requirements are materially equivalent in scope and intent.,equal,10,Physical security monitoring,OS.PSM.V1,Premises shall be continuously monitored for unauthorized physical access.,Shared scope: access control; audit and monitoring. No material divergence detected.
PE-8,PE-08 - Visitor Access Records,"a. Maintain visitor access records to the facility where the system resides for ; b. Review visitor access records ; and c. Report anomalies in visitor access records to . Guidance Visitor access records include the names and organizations of individuals visiting, visitor signatures, forms of identification, dates of access, entry and departure times, purpose of visits, and the names and organizations of individuals visited. Access record reviews determine if access authorizations are current...",medium,functional,"FedRAMP v5 Low PE-8 requires a. Maintain visitor access records to the facility where the system resides for ; b. Review visitor access records ; and c. Report anomalies in visitor access records to . Guida.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Overlap: access control; data protection. Divergence: FedRAMP v5 Low emphasizes environmental, pe-08, physical; OneLeet Controls emphasizes unauthorized, destruction, falsification."
PE-12,PE-12 - Emergency Lighting,"Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility. Guidance The provision of emergency lighting applies primarily to organizational facilities that contain concentrations of system resources, including data centers, server rooms, and mainframe computer rooms. Emergency lighting provisions for the system are described in the contingency plan for th...",medium,functional,FedRAMP v5 Low PE-12 requires Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes.... OneLeet Controls DM.SDPE.V1 requires Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unu.... Both address incident response. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure disposal process established,DM.SDPE.V1,"Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unusable, unreadable, and indecipherable to prevent unauthorized access.","Shared scope: incident response; data protection. FedRAMP v5 Low additionally includes emergency, lighting, activates; OneLeet Controls emphasizes data, disposal, secure."
PE-13,PE-13 - Fire Protection,"Employ and maintain fire detection and suppression systems that are supported by an independent energy source. Guidance The provision of fire detection and suppression systems applies primarily to organizational facilities that contain concentrations of system resources, including data centers, server rooms, and mainframe computer rooms. Fire detection and suppression systems that may require an independent energy source include sprinkler systems and smoke detectors. An independent energy sou...",medium,functional,"FedRAMP v5 Low PE-13 requires Employ and maintain fire detection and suppression systems that are supported by an independent energy source. Guidance The provision of fire detection and suppression systems a.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address data protection. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Shared scope: data protection. FedRAMP v5 Low additionally includes fire, detection, employ; OneLeet Controls emphasizes records, unauthorized, access."
PE-14,PE-14 - Environmental Controls,"a. Maintain levels within the facility where the system resides at ; and b. Monitor environmental control levels . Guidance The provision of environmental controls applies primarily to organizational facilities that contain concentrations of system resources (e.g., data centers, mainframe computer rooms, and server rooms). Insufficient environmental controls, especially in very harsh environments, can have a significant adverse impact on the availability of systems and system components that...",medium,functional,"FedRAMP v5 Low PE-14 requires a. Maintain levels within the facility where the system resides at ; and b. Monitor environmental control levels . Guidance The provision of environmental controls applies prima.... OneLeet Controls OS.PAPA.V1 requires Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and.... Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Protecting against physical and environmental threats,OS.PAPA.V1,"Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.","Overlap: data protection. Divergence: FedRAMP v5 Low emphasizes pe-14; OneLeet Controls emphasizes threats, against, designed."
PE-15,PE-15 - Water Damage Protection,"Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel. Guidance The provision of water damage protection primarily applies to organizational facilities that contain concentrations of system resources, including data centers, server rooms, and mainframe computer rooms. Isolation valves can be employed in addition to or in lieu of master shutoff valves to shut off water suppli...",medium,functional,"FedRAMP v5 Low PE-15 requires Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel. Gu.... OneLeet Controls OS.POR.V1 requires Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Protection of records,OS.POR.V1,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","Overlap: access control; data protection. Divergence: FedRAMP v5 Low emphasizes damage, water, accessible; OneLeet Controls emphasizes records, unauthorized, access."
PE-16,PE-16 - Delivery and Removal,a. Authorize and control entering and exiting the facility; and b. Maintain records of the system components. Guidance Enforcing authorizations for entry and exit of system components may require restricting access to delivery areas and isolating the areas from the system and media libraries.,medium,functional,FedRAMP v5 Low PE-16 requires a. Authorize and control entering and exiting the facility; and b. Maintain records of the system components. Guidance Enforcing authorizations for entry and exit of system comp.... OneLeet Controls DM.SDPE.V1 requires Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unu.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Secure disposal process established,DM.SDPE.V1,"Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unusable, unreadable, and indecipherable to prevent unauthorized access.","Shared scope: access control; data protection. FedRAMP v5 Low additionally includes delivery, environmental, pe-16; OneLeet Controls emphasizes data, disposal, secure."
PL-1,PL-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the planning policy and the associated planning controls; b. Designate an to manage the development, documentatio...",medium,functional,"FedRAMP v5 Low PL-1 requires a. Develop, document, and disseminate to : 1. planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organization.... OneLeet Controls OS.SPE.V1 requires Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sancti.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Sanction policy established,OS.SPE.V1,Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sanctions help enforce accountability and deter employees from engaging in misconduct.,"Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes pl-01, planning; OneLeet Controls emphasizes sanction, against, appropriate."
PL-2,PL-02 - System Security and Privacy Plans,"a. Develop security and privacy plans for the system that: 1. Are consistent with the organization’s enterprise architecture; 2. Explicitly define the constituent system components; 3. Describe the operational context of the system in terms of mission and business processes; 4. Identify the individuals that fulfill system roles and responsibilities; 5. Identify the information types processed, stored, and transmitted by the system; 6. Provide the security categorization of the system, includi...",medium,functional,FedRAMP v5 Low PL-2 requires a. Develop security and privacy plans for the system that: 1. Are consistent with the organization’s enterprise architecture; 2. Explicitly define the constituent system compone.... OneLeet Controls DM.SUNM.V1 requires Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system a.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,System use notification mechanisms established,DM.SUNM.V1,Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system accessing sensitive data.,"Shared scope: access control; incident response; data protection. FedRAMP v5 Low additionally includes pl-02, planning, plans; OneLeet Controls emphasizes data, notification, access."
PL-4(1),PL-04(01) - Social Media and External Site/Application Usage Restrictions,"Include in the rules of behavior, restrictions on: (a) Use of social media, social networking sites, and external sites/applications; (b) Posting organizational information on public websites; and (c) Use of organization-provided identifiers (e.g., email addresses) and authentication secrets (e.g., passwords) for creating accounts on external sites/applications. Guidance Social media, social networking, and external site/application usage restrictions address rules of behavior related to the...",medium,functional,"FedRAMP v5 Low PL-4(1) requires Include in the rules of behavior, restrictions on: (a) Use of social media, social networking sites, and external sites/applications; (b) Posting organizational information on p.... OneLeet Controls DM.MAFA.V1 requires Establish a process to protect and control system media containing CUI during transport outside of controlled areas. Ensure accountability through documented activities and trac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Media accounted for and documented during transportation,DM.MAFA.V1,"Establish a process to protect and control system media containing CUI during transport outside of controlled areas. Ensure accountability through documented activities and tracking of media to prevent loss, tampering, or destruction.","Overlap: access control; incident response. Divergence: FedRAMP v5 Low emphasizes social, external, restrictions; OneLeet Controls emphasizes accounted, areas, containing."
PL-4,PL-04 - Rules of Behavior,"a. Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy; b. Receive a documented acknowledgment from such individuals, indicating that they have read, understand, and agree to abide by the rules of behavior, before authorizing access to information and the system; c. Review and update the rules of behavior ; and d. Require individuals who have acknowledg...",medium,functional,"FedRAMP v5 Low PL-4 requires a. Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, se.... OneLeet Controls OS.CWP.V1 requires Compliance with the organization's information security policy, topic-specific policies, rules and standards shall be regularly reviewed.. Both address governance and policy. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Compliance with policies,OS.CWP.V1,"Compliance with the organization's information security policy, topic-specific policies, rules and standards shall be regularly reviewed.","Shared scope: governance and policy; audit and monitoring. FedRAMP v5 Low additionally includes behavior, pl-04, planning; OneLeet Controls emphasizes compliance, policies, organization."
PL-8,PL-08 - Security and Privacy Architectures,"a. Develop security and privacy architectures for the system that: 1. Describe the requirements and approach to be taken for protecting the confidentiality, integrity, and availability of organizational information; 2. Describe the requirements and approach to be taken for processing personally identifiable information to minimize privacy risk to individuals; 3. Describe how the architectures are integrated into and support the enterprise architecture; and 4. Describe any assumptions about, a...",medium,functional,"FedRAMP v5 Low PL-8 requires a. Develop security and privacy architectures for the system that: 1. Describe the requirements and approach to be taken for protecting the confidentiality, integrity, and avail.... OneLeet Controls DM.RSPT.V1 requires This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Role-Specific Privacy Training,DM.RSPT.V1,"This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers the handling of personal information, consumer rights, and organizational policies for protecting data. Completion is tracked, and refresher sessions are provided periodically to maintain awareness and compliance across the workforce.","Shared scope: access control; governance and policy; data protection. FedRAMP v5 Low additionally includes architectures, pl-08, planning; OneLeet Controls emphasizes role-specific, training, ccpa."
PL-10,PL-10 - Baseline Selection,"Select a control baseline for the system. Guidance Control baselines are predefined sets of controls specifically assembled to address the protection needs of a group, organization, or community of interest. Controls are chosen for baselines to either satisfy mandates imposed by laws, executive orders, directives, regulations, policies, standards, and guidelines or address threats common to all users of the baseline under the assumptions specific to the baseline. Baselines represent a startin...",medium,functional,"FedRAMP v5 Low PL-10 requires Select a control baseline for the system. Guidance Control baselines are predefined sets of controls specifically assembled to address the protection needs of a group, organizat.... OneLeet Controls OS.ISOA.V1 requires The organization shall establish information security objectives at relevant functions and levels. The information security objectives shall: a) be consistent with the informati.... Both address risk management. FedRAMP v5 Low covers broader scope than OneLeet Controls.",superset_of,6,Information security objective and planning to achieve them,OS.ISOA.V1,"The organization shall establish information security objectives at relevant functions and levels. The information security objectives shall: a) be consistent with the information security policy; b) be measurable (if practicable); c) take into account applicable information security requirements, and results from risk assessment and risk treatment; d) be monitored; e) be communicated; f) be updated as appropriate; g) be available as documented information. The organization shall retain docum...","Shared scope: risk management; audit and monitoring. FedRAMP v5 Low additionally includes baseline, pl-10, select; OneLeet Controls emphasizes achieve, establish, functions."
PL-11,PL-11 - Baseline Tailoring,"Tailor the selected control baseline by applying specified tailoring actions. Guidance The concept of tailoring allows organizations to specialize or customize a set of baseline controls by applying a defined set of tailoring actions. Tailoring actions facilitate such specialization and customization by allowing organizations to develop security and privacy plans that reflect their specific mission and business functions, the environments where their systems operate, the threats and vulnerabi...",medium,functional,"FedRAMP v5 Low PL-11 requires Tailor the selected control baseline by applying specified tailoring actions. Guidance The concept of tailoring allows organizations to specialize or customize a set of baseline.... OneLeet Controls RM.GATA.V1 requires When planning for the information security management system, the organization shall consider the issues referred to in 4.1 and the requirements referred to in 4.2 and determine.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,General actions to address risks and opportunities,RM.GATA.V1,"When planning for the information security management system, the organization shall consider the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and opportunities that need to be addressed to: a) ensure the information security management system can achieve its intended outcome(s); b) prevent, or reduce, undesired effects; c) achieve continual improvement. The organization shall plan: d) actions to address these risks and opportunities; and e) how to...","Overlap: risk management. Divergence: FedRAMP v5 Low emphasizes baseline, tailoring, applying; OneLeet Controls emphasizes management, address, consider."
PS-1,PS-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. personnel security policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the personnel security policy and the associated personnel security controls; b. Designate an to manage...",medium,functional,"FedRAMP v5 Low PS-1 requires a. Develop, document, and disseminate to : 1. personnel security policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among or.... OneLeet Controls OS.SPE.V1 requires Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sancti.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Sanction policy established,OS.SPE.V1,Establish a sanction policy that outlines the appropriate sanctions against workforce members who fail to comply with the organization's security policies and procedures. Sanctions help enforce accountability and deter employees from engaging in misconduct.,"Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes personnel, ps-01; OneLeet Controls emphasizes sanction, against, appropriate."
PS-2,PS-02 - Position Risk Designation,a. Assign a risk designation to all organizational positions; b. Establish screening criteria for individuals filling those positions; and c. Review and update position risk designations . Guidance Position risk designations reflect Office of Personnel Management (OPM) policy and guidance. Proper position designation is the foundation of an effective and consistent suitability and personnel security program. The Position Designation System (PDS) assesses the duties and responsibilities of a p...,medium,functional,"FedRAMP v5 Low PS-2 requires a. Assign a risk designation to all organizational positions; b. Establish screening criteria for individuals filling those positions; and c. Review and update position risk des.... OneLeet Controls OS.ISRA.V1 requires The organization shall perform information security risk assessments at planned intervals or when significant changes are proposed or occur, taking account of the criteria estab.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Information security risk assessment,OS.ISRA.V1,"The organization shall perform information security risk assessments at planned intervals or when significant changes are proposed or occur, taking account of the criteria established in 6.1.2 a). The organization shall retain documented information of the results of the information security risk assessments.","Overlap: access control; risk management. Divergence: FedRAMP v5 Low emphasizes designation, personnel, position; OneLeet Controls emphasizes account, assessment, assessments."
PS-3,PS-03 - Personnel Screening,"a. Screen individuals prior to authorizing access to the system; and b. Rescreen individuals in accordance with . Guidance Personnel screening and rescreening activities reflect applicable laws, executive orders, directives, regulations, policies, standards, guidelines, and specific criteria established for the risk designations of assigned positions. Examples of personnel screening include background investigations and agency checks. Organizations may define different rescreening conditions...",medium,functional,FedRAMP v5 Low PS-3 requires a. Screen individuals prior to authorizing access to the system; and b. Rescreen individuals in accordance with . Guidance Personnel screening and rescreening activities reflect.... OneLeet Controls OS.ES.V1 requires Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration app.... Both address access control. FedRAMP v5 Low covers broader scope than OneLeet Controls.,superset_of,6,Employee screening,OS.ES.V1,"Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.","Shared scope: access control; risk management. FedRAMP v5 Low additionally includes ps-03; OneLeet Controls emphasizes accessed, applicable, background."
PS-4,PS-04 - Personnel Termination,"Upon termination of individual employment: a. Disable system access within ; b. Terminate or revoke any authenticators and credentials associated with the individual; c. Conduct exit interviews that include a discussion of ; d. Retrieve all security-related organizational system-related property; and e. Retain access to organizational information and systems formerly controlled by terminated individual. Guidance System property includes hardware authentication tokens, system administration te...",medium,functional,"FedRAMP v5 Low PS-4 requires Upon termination of individual employment: a. Disable system access within ; b. Terminate or revoke any authenticators and credentials associated with the individual; c. Conduct.... OneLeet Controls OS.PSBR.V1 requires Security policies are formally acknowledged and signed by all relevant personnel, establishing accountability for security responsibilities.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Policies signed by relevant personnel,OS.PSBR.V1,"Security policies are formally acknowledged and signed by all relevant personnel, establishing accountability for security responsibilities.","Overlap: access control. Divergence: FedRAMP v5 Low emphasizes termination, employment, individual; OneLeet Controls emphasizes policies, relevant, signed."
PS-5,PS-05 - Personnel Transfer,a. Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization; b. Initiate within ; c. Modify access authorization as needed to correspond with any changes in operational need due to reassignment or transfer; and d. Notify within . Guidance Personnel transfer applies when reassignments or transfers of individuals are permanent or of such e...,medium,functional,FedRAMP v5 Low PS-5 requires a. Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to.... OneLeet Controls IS.PDAR.V1 requires Limit access to production deployment environments to authorized personnel only. This control helps prevent unauthorized changes or deployments that may disrupt critical services.. Both address access control. FedRAMP v5 Low is narrower and fits within OneLeet Controls scope.,subset_of,6,Production deployment access restricted,IS.PDAR.V1,Limit access to production deployment environments to authorized personnel only. This control helps prevent unauthorized changes or deployments that may disrupt critical services.,"Shared scope: access control; incident response. FedRAMP v5 Low emphasizes ps-05, transfer; OneLeet Controls additionally includes access, deployment, production."
PS-6,PS-06 - Access Agreements,"a. Develop and document access agreements for organizational systems; b. Review and update the access agreements ; and c. Verify that individuals requiring access to organizational information and systems: 1. Sign appropriate access agreements prior to being granted access; and 2. Re-sign access agreements to maintain access to organizational systems when access agreements have been updated or . Guidance Access agreements include nondisclosure agreements, acceptable use agreements, rules of b...",medium,functional,FedRAMP v5 Low PS-6 requires a. Develop and document access agreements for organizational systems; b. Review and update the access agreements ; and c. Verify that individuals requiring access to organizatio.... OneLeet Controls AC.AC.V1 requires Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requireme.... Both address access control. The requirements are materially equivalent in scope and intent.,equal,9,Access control,AC.AC.V1,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,Shared scope: access control; audit and monitoring. No material divergence detected.
PS-7,PS-07 - External Personnel Security,"a. Establish personnel security requirements, including security roles and responsibilities for external providers; b. Require external providers to comply with personnel security policies and procedures established by the organization; c. Document personnel security requirements; d. Require external providers to notify of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within ; and e. Monitor pr...",medium,functional,"FedRAMP v5 Low PS-7 requires a. Establish personnel security requirements, including security roles and responsibilities for external providers; b. Require external providers to comply with personnel securi.... OneLeet Controls IS.PDAR.V1 requires Limit access to production deployment environments to authorized personnel only. This control helps prevent unauthorized changes or deployments that may disrupt critical services.. Both address access control. FedRAMP v5 Low is narrower and fits within OneLeet Controls scope.",subset_of,6,Production deployment access restricted,IS.PDAR.V1,Limit access to production deployment environments to authorized personnel only. This control helps prevent unauthorized changes or deployments that may disrupt critical services.,"Shared scope: access control; incident response. FedRAMP v5 Low emphasizes external, ps-07; OneLeet Controls additionally includes access, deployment, production."
PS-8,PS-08 - Personnel Sanctions,"a. Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and b. Notify within when a formal employee sanctions process is initiated, identifying the individual sanctioned and the reason for the sanction. Guidance Organizational sanctions reflect applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Sanctions processes are described in access agreements and can be...",medium,functional,"FedRAMP v5 Low PS-8 requires a. Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and b. Notify within when a for.... OneLeet Controls OS.PSBR.V1 requires Security policies are formally acknowledged and signed by all relevant personnel, establishing accountability for security responsibilities.. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Policies signed by relevant personnel,OS.PSBR.V1,"Security policies are formally acknowledged and signed by all relevant personnel, establishing accountability for security responsibilities.","Overlap: access control. Divergence: FedRAMP v5 Low emphasizes ps-08, sanctions; OneLeet Controls emphasizes policies, relevant, signed."
PS-9,PS-09 - Position Descriptions,Incorporate security and privacy roles and responsibilities into organizational position descriptions. Guidance Specification of security and privacy roles in individual organizational position descriptions facilitates clarity in understanding the security or privacy responsibilities associated with the roles and the role-based security and privacy training requirements for the roles.,medium,functional,"FedRAMP v5 Low PS-9 requires Incorporate security and privacy roles and responsibilities into organizational position descriptions. Guidance Specification of security and privacy roles in individual organiz.... OneLeet Controls OS.BCD.V1 requires Document the Board charter, which outlines the responsibilities, roles, and authority of the Board of Directors. The charter sets the framework for effective corporate governanc.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Board charter documented,OS.BCD.V1,"Document the Board charter, which outlines the responsibilities, roles, and authority of the Board of Directors. The charter sets the framework for effective corporate governance and oversight.","Overlap: access control; governance and policy. Divergence: FedRAMP v5 Low emphasizes descriptions, position, incorporate; OneLeet Controls emphasizes board, charter, authority."
RA-1,RA-01 - Policy and Procedures,"a. Develop, document, and disseminate to : 1. risk assessment policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the risk assessment policy and the associated risk assessment controls; b. Designate an to manage the deve...",medium,functional,"FedRAMP v5 Low RA-1 requires a. Develop, document, and disseminate to : 1. risk assessment policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organ.... OneLeet Controls RM.RMPE.V1 requires A risk management policy is established that outlines the organization's approach to identifying, assessing, and mitigating information security risks.. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Risk management policy established,RM.RMPE.V1,"A risk management policy is established that outlines the organization's approach to identifying, assessing, and mitigating information security risks.","Overlap: risk management; governance and policy. Divergence: FedRAMP v5 Low emphasizes assessment, procedures, ra-01; OneLeet Controls emphasizes management, established, approach."
RA-2,RA-02 - Security Categorization,"a. Categorize the system and information it processes, stores, and transmits; b. Document the security categorization results, including supporting rationale, in the security plan for the system; and c. Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision. Guidance Security categories describe the potential adverse impacts or negative consequences to organizational operations, organizational assets, an...",medium,functional,"FedRAMP v5 Low RA-2 requires a. Categorize the system and information it processes, stores, and transmits; b. Document the security categorization results, including supporting rationale, in the security pl.... OneLeet Controls MI.BRAT.V1 requires Establish a standardized risk assessment template to evaluate the potential impact of breaches on affected individuals. Include criteria for assessing:- The nature and sensitivi.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Breach risk assessment template developed,MI.BRAT.V1,Establish a standardized risk assessment template to evaluate the potential impact of breaches on affected individuals. Include criteria for assessing:- The nature and sensitivity of the breached ePHI.- The likelihood of data misuse.- Steps already taken to mitigate the breach.,"Overlap: risk management; audit and monitoring; data protection. Divergence: FedRAMP v5 Low emphasizes categorization, ra-02; OneLeet Controls emphasizes template, affected, breach."
