FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
IR-6,IR-06 - Incident Reporting,Require personnel to report suspected incidents to the organizational incident response capability within ; and b.,high,semantic,StateRAMP Rev5 Moderate IR-6 requires Require personnel to report suspected incidents to the organizational incident response capability within ; and b.. NIST 800-82 r3 Moderate IR-6 requires Require personnel to report suspected incidents to the organizational incident response capability within ; and b.. Both address OT cybersecurity safeguards.,subset_of,7,IR-06 - Incident Reporting,IR-6,Require personnel to report suspected incidents to the organizational incident response capability within ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.636). Reclassified to subset_of (equal>50% safeguard).
IR-6(1),IR-06(01) - Automated Reporting,Discussion The recipients of incident reports are specified in IR-6b .,high,semantic,StateRAMP Rev5 Moderate IR-6(1) requires Discussion The recipients of incident reports are specified in IR-6b .. NIST 800-82 r3 Moderate IR-6(1) requires Discussion The recipients of incident reports are specified in IR-6b .. Both address OT cybersecurity safeguards.,subset_of,7,IR-06(01) - Automated Reporting,IR-6(1),Discussion The recipients of incident reports are specified in IR-6b .,Auto-mapped via ID-first + lexical scoring (score=0.792). Reclassified to subset_of (equal>50% safeguard).
IR-6(3),IR-06(03) - Supply Chain Coordination,Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.,high,semantic,StateRAMP Rev5 Moderate IR-6(3) requires Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.. NIST 800-82 r3 Moderate IR-6(3) requires Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.. Both address OT cybersecurity safeguards.,equal,10,IR-06(03) - Supply Chain Coordination,IR-6(3),Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.,Auto-mapped via ID-first + lexical scoring (score=1.000).
IR-7,IR-07 - Incident Response Assistance,"Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.",high,semantic,"StateRAMP Rev5 Moderate IR-7 requires Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.. NIST 800-82 r3 Moderate IR-7 requires Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.. Both address OT cybersecurity safeguards.",equal,10,IR-07 - Incident Response Assistance,IR-7,"Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.",Auto-mapped via ID-first + lexical scoring (score=1.000).
IR-7(1),IR-07(01) - Automation Support for Availability of Information and Support,Increase the availability of incident response information and support using .,high,semantic,StateRAMP Rev5 Moderate IR-7(1) requires Increase the availability of incident response information and support using .. NIST 800-82 r3 Moderate IR-7(1) requires Increase the availability of incident response information and support using .. Both address OT cybersecurity safeguards.,equal,10,IR-07(01) - Automation Support for Availability of Information and Support,IR-7(1),Increase the availability of incident response information and support using .,Auto-mapped via ID-first + lexical scoring (score=1.000).
IR-8,IR-08 - Incident Response Plan,Develop an incident response plan that: 1.,high,semantic,StateRAMP Rev5 Moderate IR-8 requires Develop an incident response plan that: 1.. NIST 800-82 r3 Moderate IR-8 requires Develop an incident response plan that: 1.. Both address OT cybersecurity safeguards.,subset_of,7,IR-08 - Incident Response Plan,IR-8,Develop an incident response plan that: 1.,Auto-mapped via ID-first + lexical scoring (score=0.877). Reclassified to subset_of (equal>50% safeguard).
IR-9,IR-09 - Information Spillage Response,Respond to information spills by: a.,medium,functional,"StateRAMP Rev5 Moderate IR-9 requires Respond to information spills by: a.. NIST 800-82 r3 Moderate IR-2 requires Provide incident response training to system users consistent with assigned roles and responsibilities: 1.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,IR-02 - Incident Response Training,IR-2,Provide incident response training to system users consistent with assigned roles and responsibilities: 1.,Auto-mapped via ID-first + lexical scoring (score=0.242).
IR-9(2),IR-09(02) - Training,Provide information spillage response training .,medium,functional,"StateRAMP Rev5 Moderate IR-9(2) requires Provide information spillage response training .. NIST 800-82 r3 Moderate IR-7 requires Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,IR-07 - Incident Response Assistance,IR-7,"Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.",Auto-mapped via ID-first + lexical scoring (score=0.270).
IR-9(3),IR-09(03) - Post-spill Operations,Implement the following procedures to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions: .,medium,functional,"StateRAMP Rev5 Moderate IR-9(3) requires Implement the following procedures to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions: .. NIST 800-82 r3 Moderate IR-3 requires Test the effectiveness of the incident response capability for the system using the following tests: .. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,IR-03 - Incident Response Testing,IR-3,Test the effectiveness of the incident response capability for the system using the following tests: .,Auto-mapped via ID-first + lexical scoring (score=0.254).
IR-9(4),IR-09(04) - Exposure to Unauthorized Personnel,Employ the following controls for personnel exposed to information not within assigned access authorizations: .,medium,functional,"StateRAMP Rev5 Moderate IR-9(4) requires Employ the following controls for personnel exposed to information not within assigned access authorizations: .. NIST 800-82 r3 Moderate IR-2 requires Provide incident response training to system users consistent with assigned roles and responsibilities: 1.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,IR-02 - Incident Response Training,IR-2,Provide incident response training to system users consistent with assigned roles and responsibilities: 1.,Auto-mapped via ID-first + lexical scoring (score=0.308).
MA-1,MA-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate MA-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate MA-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,MA-01 - Policy and Procedures,MA-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.947).
MA-2,MA-02 - Controlled Maintenance,"Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements; b.",high,semantic,"StateRAMP Rev5 Moderate MA-2 requires Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements; b.. NIST 800-82 r3 Moderate MA-2 requires Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements; b.. Both address OT cybersecurity safeguards.",equal,10,MA-02 - Controlled Maintenance,MA-2,"Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements; b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-3,MA-03 - Maintenance Tools,"Approve, control, and monitor the use of system maintenance tools; and b.",high,semantic,"StateRAMP Rev5 Moderate MA-3 requires Approve, control, and monitor the use of system maintenance tools; and b.. NIST 800-82 r3 Moderate MA-3 requires Approve, control, and monitor the use of system maintenance tools; and b.. Both address OT cybersecurity safeguards.",equal,10,MA-03 - Maintenance Tools,MA-3,"Approve, control, and monitor the use of system maintenance tools; and b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-3(1),MA-03(01) - Inspect Tools,Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.,high,semantic,StateRAMP Rev5 Moderate MA-3(1) requires Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.. NIST 800-82 r3 Moderate MA-3(1) requires Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.. Both address OT cybersecurity safeguards.,equal,10,MA-03(01) - Inspect Tools,MA-3(1),Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.,Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-3(2),MA-03(02) - Inspect Media,Check media containing diagnostic and test programs for malicious code before the media are used in the system.,high,semantic,StateRAMP Rev5 Moderate MA-3(2) requires Check media containing diagnostic and test programs for malicious code before the media are used in the system.. NIST 800-82 r3 Moderate MA-3(2) requires Check media containing diagnostic and test programs for malicious code before the media are used in the system.. Both address OT cybersecurity safeguards.,equal,10,MA-03(02) - Inspect Media,MA-3(2),Check media containing diagnostic and test programs for malicious code before the media are used in the system.,Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-3(3),MA-03(03) - Prevent Unauthorized Removal,Prevent the removal of maintenance equipment containing organizational information by: (a) Verifying that there is no organizational information contained on the equipment; (b) Sanitizing or destroying the equipment; (c) Retaining the equipment within the facility; or (d) Obtaining an exemption from...,high,semantic,StateRAMP Rev5 Moderate MA-3(3) requires Prevent the removal of maintenance equipment containing organizational information by: (a) Verifying that there is no organizational information contained on the equipment; (b) Sanitizing or destroying the equipment; (c) Retaining the equipment within the facility; or (d) Obtaining an exemption from.... NIST 800-82 r3 Moderate MA-3(3) requires Prevent the removal of maintenance equipment containing organizational information by: (a) Verifying that there is no organizational information contained on the equipment; (b) Sanitizing or destroying the equipment; (c) Retaining the equipment within the facility; or (d) Obtaining an exemption from.... Both address OT cybersecurity safeguards.,equal,10,MA-03(03) - Prevent Unauthorized Removal,MA-3(3),Prevent the removal of maintenance equipment containing organizational information by: (a) Verifying that there is no organizational information contained on the equipment; (b) Sanitizing or destroying the equipment; (c) Retaining the equipment within the facility; or (d) Obtaining an exemption from...,Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-4,MA-04 - Nonlocal Maintenance,Approve and monitor nonlocal maintenance and diagnostic activities; b.,high,semantic,StateRAMP Rev5 Moderate MA-4 requires Approve and monitor nonlocal maintenance and diagnostic activities; b.. NIST 800-82 r3 Moderate MA-4 requires Approve and monitor nonlocal maintenance and diagnostic activities; b.. Both address OT cybersecurity safeguards.,equal,10,MA-04 - Nonlocal Maintenance,MA-4,Approve and monitor nonlocal maintenance and diagnostic activities; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-5,MA-05 - Maintenance Personnel,Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel; b.,high,semantic,StateRAMP Rev5 Moderate MA-5 requires Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel; b.. NIST 800-82 r3 Moderate MA-5 requires Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel; b.. Both address OT cybersecurity safeguards.,equal,10,MA-05 - Maintenance Personnel,MA-5,Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
MA-5(1),MA-05(01) - Individuals Without Appropriate Access,(a) Implement procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S.,medium,functional,"StateRAMP Rev5 Moderate MA-5(1) requires (a) Implement procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S.. NIST 800-82 r3 Moderate MA-5 requires Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel; b.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,3,MA-05 - Maintenance Personnel,MA-5,Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel; b.,Auto-mapped via ID-first + lexical scoring (score=0.321).
MA-6,MA-06 - Timely Maintenance,Obtain maintenance support and/or spare parts for within of failure.,high,semantic,StateRAMP Rev5 Moderate MA-6 requires Obtain maintenance support and/or spare parts for within of failure.. NIST 800-82 r3 Moderate MA-6 requires Obtain maintenance support and/or spare parts for within of failure.. Both address OT cybersecurity safeguards.,equal,10,MA-06 - Timely Maintenance,MA-6,Obtain maintenance support and/or spare parts for within of failure.,Auto-mapped via ID-first + lexical scoring (score=1.000).
MP-1,MP-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate MP-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate MP-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,MP-01 - Policy and Procedures,MP-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
MP-2,MP-02 - Media Access,Discussion System media includes digital and non-digital media.,high,semantic,StateRAMP Rev5 Moderate MP-2 requires Discussion System media includes digital and non-digital media.. NIST 800-82 r3 Moderate MP-2 requires Discussion System media includes digital and non-digital media.. Both address OT cybersecurity safeguards.,equal,10,MP-02 - Media Access,MP-2,Discussion System media includes digital and non-digital media.,Auto-mapped via ID-first + lexical scoring (score=1.000).
MP-3,MP-03 - Media Marking,"Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and b.",high,semantic,"StateRAMP Rev5 Moderate MP-3 requires Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and b.. NIST 800-82 r3 Moderate MP-3 requires Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and b.. Both address OT cybersecurity safeguards.",equal,10,MP-03 - Media Marking,MP-3,"Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and b.",Auto-mapped via ID-first + lexical scoring (score=0.939).
MP-4,MP-04 - Media Storage,Physically control and securely store within ; and b.,high,semantic,StateRAMP Rev5 Moderate MP-4 requires Physically control and securely store within ; and b.. NIST 800-82 r3 Moderate MP-4 requires Physically control and securely store within ; and b.. Both address OT cybersecurity safeguards.,equal,10,MP-04 - Media Storage,MP-4,Physically control and securely store within ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.915).
MP-5,MP-05 - Media Transport,Protect and control during transport outside of controlled areas using ; b.,high,semantic,StateRAMP Rev5 Moderate MP-5 requires Protect and control during transport outside of controlled areas using ; b.. NIST 800-82 r3 Moderate MP-5 requires Protect and control during transport outside of controlled areas using ; b.. Both address OT cybersecurity safeguards.,subset_of,7,MP-05 - Media Transport,MP-5,Protect and control during transport outside of controlled areas using ; b.,Auto-mapped via ID-first + lexical scoring (score=0.891). Reclassified to subset_of (equal>50% safeguard).
MP-6,MP-06 - Media Sanitization,"Sanitize prior to disposal, release out of organizational control, or release for reuse using ; and b.",high,semantic,"StateRAMP Rev5 Moderate MP-6 requires Sanitize prior to disposal, release out of organizational control, or release for reuse using ; and b.. NIST 800-82 r3 Moderate MP-6 requires Sanitize prior to disposal, release out of organizational control, or release for reuse using ; and b.. Both address OT cybersecurity safeguards.",equal,10,MP-06 - Media Sanitization,MP-6,"Sanitize prior to disposal, release out of organizational control, or release for reuse using ; and b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
MP-7,MP-07 - Media Use,Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.,high,semantic,StateRAMP Rev5 Moderate MP-7 requires Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.. NIST 800-82 r3 Moderate MP-7 requires Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.. Both address OT cybersecurity safeguards.,equal,10,MP-07 - Media Use,MP-7,Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-1,PE-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate PE-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate PE-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",subset_of,7,PE-01 - Policy and Procedures,PE-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.840). Reclassified to subset_of (equal>50% safeguard).
PE-2,PE-02 - Physical Access Authorizations,"Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides; b.",high,semantic,"StateRAMP Rev5 Moderate PE-2 requires Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides; b.. NIST 800-82 r3 Moderate PE-2 requires Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides; b.. Both address OT cybersecurity safeguards.",equal,10,PE-02 - Physical Access Authorizations,PE-2,"Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides; b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-3,PE-03 - Physical Access Control,Enforce physical access authorizations at by: 1.,high,semantic,StateRAMP Rev5 Moderate PE-3 requires Enforce physical access authorizations at by: 1.. NIST 800-82 r3 Moderate PE-3 requires Enforce physical access authorizations at by: 1.. Both address OT cybersecurity safeguards.,subset_of,7,PE-03 - Physical Access Control,PE-3,Enforce physical access authorizations at by: 1.,Auto-mapped via ID-first + lexical scoring (score=0.748). Reclassified to subset_of (equal>50% safeguard).
PE-4,PE-04 - Access Control for Transmission,Control physical access to within organizational facilities using .,high,semantic,StateRAMP Rev5 Moderate PE-4 requires Control physical access to within organizational facilities using .. NIST 800-82 r3 Moderate PE-4 requires Control physical access to within organizational facilities using .. Both address OT cybersecurity safeguards.,equal,10,PE-04 - Access Control for Transmission,PE-4,Control physical access to within organizational facilities using .,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-5,PE-05 - Access Control for Output Devices,Control physical access to output from to prevent unauthorized individuals from obtaining the output.,high,semantic,StateRAMP Rev5 Moderate PE-5 requires Control physical access to output from to prevent unauthorized individuals from obtaining the output.. NIST 800-82 r3 Moderate PE-5 requires Control physical access to output from to prevent unauthorized individuals from obtaining the output.. Both address OT cybersecurity safeguards.,equal,10,PE-05 - Access Control for Output Devices,PE-5,Control physical access to output from to prevent unauthorized individuals from obtaining the output.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-6,PE-06 - Monitoring Physical Access,Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; b.,high,semantic,StateRAMP Rev5 Moderate PE-6 requires Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; b.. NIST 800-82 r3 Moderate PE-6 requires Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; b.. Both address OT cybersecurity safeguards.,equal,10,PE-06 - Monitoring Physical Access,PE-6,Monitor physical access to the facility where the system resides to detect and respond to physical security incidents; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-6(1),PE-06(01) - Intrusion Alarms and Surveillance Equipment,Monitor physical access to the facility where the system resides using physical intrusion alarms and surveillance equipment.,high,semantic,StateRAMP Rev5 Moderate PE-6(1) requires Monitor physical access to the facility where the system resides using physical intrusion alarms and surveillance equipment.. NIST 800-82 r3 Moderate PE-6(1) requires Monitor physical access to the facility where the system resides using physical intrusion alarms and surveillance equipment.. Both address OT cybersecurity safeguards.,equal,10,PE-06(01) - Intrusion Alarms and Surveillance Equipment,PE-6(1),Monitor physical access to the facility where the system resides using physical intrusion alarms and surveillance equipment.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-8,PE-08 - Visitor Access Records,Maintain visitor access records to the facility where the system resides for ; b.,high,semantic,StateRAMP Rev5 Moderate PE-8 requires Maintain visitor access records to the facility where the system resides for ; b.. NIST 800-82 r3 Moderate PE-8 requires Maintain visitor access records to the facility where the system resides for ; b.. Both address OT cybersecurity safeguards.,equal,10,PE-08 - Visitor Access Records,PE-8,Maintain visitor access records to the facility where the system resides for ; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-9,PE-09 - Power Equipment and Cabling,Protect power equipment and power cabling for the system from damage and destruction.,high,semantic,StateRAMP Rev5 Moderate PE-9 requires Protect power equipment and power cabling for the system from damage and destruction.. NIST 800-82 r3 Moderate PE-9 requires Protect power equipment and power cabling for the system from damage and destruction.. Both address OT cybersecurity safeguards.,equal,10,PE-09 - Power Equipment and Cabling,PE-9,Protect power equipment and power cabling for the system from damage and destruction.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-10,PE-10 - Emergency Shutoff,Provide the capability of shutting off power to in emergency situations; b.,high,semantic,StateRAMP Rev5 Moderate PE-10 requires Provide the capability of shutting off power to in emergency situations; b.. NIST 800-82 r3 Moderate PE-10 requires Provide the capability of shutting off power to in emergency situations; b.. Both address OT cybersecurity safeguards.,subset_of,7,PE-10 - Emergency Shutoff,PE-10,Provide the capability of shutting off power to in emergency situations; b.,Auto-mapped via ID-first + lexical scoring (score=0.661). Reclassified to subset_of (equal>50% safeguard).
PE-11,PE-11 - Emergency Power,Provide an uninterruptible power supply to facilitate in the event of a primary power source loss.,high,semantic,StateRAMP Rev5 Moderate PE-11 requires Provide an uninterruptible power supply to facilitate in the event of a primary power source loss.. NIST 800-82 r3 Moderate PE-11 requires Provide an uninterruptible power supply to facilitate in the event of a primary power source loss.. Both address OT cybersecurity safeguards.,equal,10,PE-11 - Emergency Power,PE-11,Provide an uninterruptible power supply to facilitate in the event of a primary power source loss.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-12,PE-12 - Emergency Lighting,Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.,high,semantic,StateRAMP Rev5 Moderate PE-12 requires Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.. NIST 800-82 r3 Moderate PE-12 requires Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.. Both address OT cybersecurity safeguards.,equal,10,PE-12 - Emergency Lighting,PE-12,Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-13,PE-13 - Fire Protection,Employ and maintain fire detection and suppression systems that are supported by an independent energy source.,high,semantic,StateRAMP Rev5 Moderate PE-13 requires Employ and maintain fire detection and suppression systems that are supported by an independent energy source.. NIST 800-82 r3 Moderate PE-13 requires Employ and maintain fire detection and suppression systems that are supported by an independent energy source.. Both address OT cybersecurity safeguards.,subset_of,7,PE-13 - Fire Protection,PE-13,Employ and maintain fire detection and suppression systems that are supported by an independent energy source.,Auto-mapped via ID-first + lexical scoring (score=0.830). Reclassified to subset_of (equal>50% safeguard).
PE-13(1),PE-13(01) - Detection Systems — Automatic Activation and Notification,Employ fire detection systems that activate automatically and notify and in the event of a fire.,high,semantic,StateRAMP Rev5 Moderate PE-13(1) requires Employ fire detection systems that activate automatically and notify and in the event of a fire.. NIST 800-82 r3 Moderate PE-13(1) requires Employ fire detection systems that activate automatically and notify and in the event of a fire.. Both address OT cybersecurity safeguards.,equal,10,PE-13(01) - Detection Systems â€” Automatic Activation and Notification,PE-13(1),Employ fire detection systems that activate automatically and notify and in the event of a fire.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-13(2),PE-13(02) - Suppression Systems — Automatic Activation and Notification,(a) Employ fire suppression systems that activate automatically and notify and ; and (b) Employ an automatic fire suppression capability when the facility is not staffed on a continuous basis.,high,functional,StateRAMP Rev5 Moderate PE-13(2) requires (a) Employ fire suppression systems that activate automatically and notify and ; and (b) Employ an automatic fire suppression capability when the facility is not staffed on a continuous basis.. NIST 800-82 r3 Moderate PE-13(1) requires Employ fire detection systems that activate automatically and notify and in the event of a fire.. Both address OT cybersecurity safeguards.,superset_of,7,PE-13(01) - Detection Systems â€” Automatic Activation and Notification,PE-13(1),Employ fire detection systems that activate automatically and notify and in the event of a fire.,Auto-mapped via ID-first + lexical scoring (score=1.056).
PE-14,PE-14 - Environmental Controls,Maintain levels within the facility where the system resides at ; and b.,high,functional,"StateRAMP Rev5 Moderate PE-14 requires Maintain levels within the facility where the system resides at ; and b.. NIST 800-82 r3 Moderate PE-14 requires Maintain levels within the facility where the system resides at ; and b.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,PE-14 - Environmental Controls,PE-14,Maintain levels within the facility where the system resides at ; and b.,Auto-mapped via ID-first + lexical scoring (score=0.473).
PE-15,PE-15 - Water Damage Protection,"Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.",high,functional,"StateRAMP Rev5 Moderate PE-15 requires Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.. NIST 800-82 r3 Moderate PE-15 requires Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.. Both address OT cybersecurity safeguards. Both address overlapping control intent, but implementation and compliance emphasis differ by framework context.",intersects_with,4,PE-15 - Water Damage Protection,PE-15,"Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.",Auto-mapped via ID-first + lexical scoring (score=0.533).
PE-16,PE-16 - Delivery and Removal,Authorize and control entering and exiting the facility; and b.,high,semantic,StateRAMP Rev5 Moderate PE-16 requires Authorize and control entering and exiting the facility; and b.. NIST 800-82 r3 Moderate PE-16 requires Authorize and control entering and exiting the facility; and b.. Both address OT cybersecurity safeguards.,equal,10,PE-16 - Delivery and Removal,PE-16,Authorize and control entering and exiting the facility; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PE-17,PE-17 - Alternate Work Site,Determine and document the allowed for use by employees; b.,high,semantic,StateRAMP Rev5 Moderate PE-17 requires Determine and document the allowed for use by employees; b.. NIST 800-82 r3 Moderate PE-17 requires Determine and document the allowed for use by employees; b.. Both address OT cybersecurity safeguards.,equal,10,PE-17 - Alternate Work Site,PE-17,Determine and document the allowed for use by employees; b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
PL-1,PL-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate PL-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate PL-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,PL-01 - Policy and Procedures,PL-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.948).
PL-2,PL-02 - System Security and Privacy Plans,Develop security and privacy plans for the system that: 1.,high,semantic,StateRAMP Rev5 Moderate PL-2 requires Develop security and privacy plans for the system that: 1.. NIST 800-82 r3 Moderate PL-2 requires Develop security and privacy plans for the system that: 1.. Both address OT cybersecurity safeguards.,equal,10,PL-02 - System Security and Privacy Plans,PL-2,Develop security and privacy plans for the system that: 1.,Auto-mapped via ID-first + lexical scoring (score=0.957).
PL-4,PL-04 - Rules of Behavior,"Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy; b.",high,semantic,"StateRAMP Rev5 Moderate PL-4 requires Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy; b.. NIST 800-82 r3 Moderate PL-4 requires Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy; b.. Both address OT cybersecurity safeguards.",equal,10,PL-04 - Rules of Behavior,PL-4,"Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy; b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
