NIST IR 8477-Based Set Theory Relationship Mapping (STRM),,,,,,Focal Document:,HIPAA,,,,
Target Document:,CJIS Security Policy,,,,,Focal Document URL:,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/index.html,,,,
164.312(a)(2)(iii),Automatic Logoff,Implement electronic procedures that terminate an electronic session after predetermined period of inactivity.,high,semantic,"HIPAA 164.312(a)(2)(iii) requires automatic logoff. CJIS 5.5.AC-12 requires automatically terminating a user session after logout. Both require automatic session termination.",intersects_with,4,5.5.AC-12 Session Termination,5.5.AC-12,Automatically terminate a user session after a user has been logged out.,"HIPAA requires session termination after inactivity; CJIS AC-12 requires termination after logout. Both ensure sessions are properly terminated. HIPAA focuses on inactivity timeout; CJIS focuses on complete session termination."
164.312(a)(2)(iv),Encryption and Decryption,Implement a mechanism to encrypt and decrypt electronic protected health information.,high,semantic,"HIPAA 164.312(a)(2)(iv) requires a mechanism to encrypt and decrypt ePHI. CJIS 5.10.SC-28 requires protecting the confidentiality and integrity of CJI at rest using FIPS 140-3 certified cryptographic modules. Both require encryption mechanisms to protect sensitive information stored in information systems.",equal,10,5.10.SC-28 Protection of Information at Rest,5.10.SC-28,Protect the confidentiality and integrity of CJI at rest using cryptographic modules which are certified FIPS 140-3 with a symmetric cipher key of at least 128-bit strength.,"Both require encryption mechanisms to protect sensitive information stored in information systems. HIPAA specifies ePHI; CJIS specifies CJI with specific FIPS 140-3 standards."
164.312(a)(2)(iv),Encryption and Decryption,Implement a mechanism to encrypt and decrypt electronic protected health information.,high,semantic,"HIPAA 164.312(a)(2)(iv) requires encryption and decryption mechanisms. CJIS 5.10.SC-28(1) requires cryptographic mechanisms to prevent unauthorized disclosure and modification of CJI at rest. Both require cryptographic protection of sensitive information at rest.",intersects_with,4,5.10.SC-28(1) Protection of Information at Rest | Cryptographic Protection,5.10.SC-28(1),Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of CJI at rest on information systems and digital media outside physically secure locations.,"HIPAA requires encryption/decryption capability for ePHI; CJIS requires specific cryptographic mechanisms for CJI at rest outside physically secure locations. Both require encryption of sensitive information at rest."
164.312(b),Audit Controls,Implement hardware software and/or procedural mechanisms that record and examine activity in information systems containing ePHI.,high,semantic,"HIPAA 164.312(b) requires hardware, software, and procedural mechanisms to record and examine activity in ePHI systems. CJIS 5.4.AU-12 requires providing audit record generation capability for required event types. Both require technical and procedural audit mechanisms for sensitive information systems.",equal,10,5.4.AU-12 Audit Record Generation,5.4.AU-12,Provide audit record generation capability for the event types the system is capable of auditing on all systems generating required audit logs; generate audit records for defined event types that include the audit record content defined in AU-3.,"Both require implementation of audit mechanisms to record and examine activity in sensitive information systems. HIPAA covers ePHI systems; CJIS specifies detailed event types and audit record content."
164.312(b),Audit Controls,Implement hardware software and/or procedural mechanisms that record and examine activity in information systems containing ePHI.,high,semantic,"HIPAA 164.312(b) requires audit controls. CJIS 5.4.AU-3 requires audit records to contain specific content establishing what when where source outcome and identity for each event. Both require audit records with sufficient content to support review and investigation.",intersects_with,4,5.4.AU-3 Content of Audit Records,5.4.AU-3,Ensure that audit records contain information that establishes: what type of event occurred; when the event occurred; where the event occurred; source of the event; outcome of the event; and identity of any individuals subjects or objects associated with the event.,"HIPAA requires mechanisms to record and examine activity; CJIS specifies detailed content requirements for audit records. HIPAA is broader; CJIS provides specific content standards for audit records."
164.312(c)(1),Integrity,Implement policies and procedures to protect ePHI from improper alteration or destruction.,high,semantic,"HIPAA 164.312(c)(1) requires policies and procedures to protect ePHI from improper alteration or destruction. CJIS 5.15.SI-7 requires employing integrity verification tools to detect unauthorized changes to software, firmware, and information systems. Both require controls protecting the integrity of sensitive information.",equal,10,5.15.SI-7 Software Firmware and Information Integrity,5.15.SI-7,Employ integrity verification tools to detect unauthorized changes to software firmware and information systems that contain or process CJI; take actions when unauthorized changes are detected including notifying organizational personnel and implementing incident response procedures.,"Both require controls to protect sensitive information from unauthorized alteration or destruction. HIPAA specifies ePHI; CJIS specifies CJI and includes system integrity verification requirements."
164.312(c)(1),Integrity,Implement policies and procedures to protect ePHI from improper alteration or destruction.,high,semantic,"HIPAA 164.312(c)(1) requires integrity protection. CJIS 5.10.SC-28 requires protecting the integrity of CJI at rest. Both require protecting sensitive information from unauthorized modification.",intersects_with,4,5.10.SC-28 Protection of Information at Rest,5.10.SC-28,Protect the confidentiality and integrity of CJI at rest using FIPS 140-3 certified cryptographic modules with a symmetric cipher key of at least 128-bit strength.,"HIPAA requires policies for protecting ePHI integrity; CJIS requires cryptographic protection of CJI integrity at rest. Both address protecting data integrity. HIPAA is broader in scope; CJIS specifies cryptographic methods."
164.312(c)(2),Mechanism to Authenticate Electronic Protected Health Information,Implement electronic mechanisms to corroborate that ePHI has not been altered or destroyed in an unauthorized manner.,high,semantic,"HIPAA 164.312(c)(2) requires electronic mechanisms to corroborate ePHI has not been altered or destroyed. CJIS 5.15.SI-7(1) requires performing integrity checks of systems containing or processing CJI at transitional states or security relevant events at least weekly. Both require automated integrity verification mechanisms.",equal,10,5.15.SI-7(1) Software Firmware and Information Integrity | Integrity Checks,5.15.SI-7(1),Perform an integrity check of software firmware and information systems that contain or process CJI at agency-defined transitional states or security relevant events at least weekly or in an automated fashion.,"Both require electronic/automated mechanisms to verify that sensitive information has not been improperly altered. HIPAA requires corroboration; CJIS requires periodic integrity checks."
164.312(d),Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.,high,semantic,"HIPAA 164.312(d) requires procedures to verify that persons or entities seeking access to ePHI are who they claim to be. CJIS 5.6.IA-2 requires uniquely identifying and authenticating organizational users. Both require identity verification before granting access to sensitive information.",equal,10,5.6.IA-2 Identification and Authentication (Organizational Users),5.6.IA-2,Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users.,"Both require verification of identity before granting access to sensitive information systems. HIPAA specifies verification of persons and entities; CJIS requires unique identification and authentication of organizational users."
164.312(d),Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.,high,semantic,"HIPAA 164.312(d) requires authentication. CJIS 5.6.IA-2(1) requires implementing multi-factor authentication for access to privileged accounts. Both require strong authentication for system access.",intersects_with,4,5.6.IA-2(1) Identification and Authentication | Multi-Factor Authentication to Privileged Accounts,5.6.IA-2(1),Implement multi-factor authentication for access to privileged accounts.,"HIPAA requires authentication procedures for ePHI access; CJIS requires multi-factor authentication for privileged accounts. HIPAA is broader; CJIS specifies MFA standards. Both verify identity before granting access."
164.312(d),Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.,high,semantic,"HIPAA 164.312(d) requires person or entity authentication. CJIS 5.6.IA-3 requires uniquely identifying and authenticating agency-managed devices before establishing network connections. Both require authentication of entities accessing systems.",intersects_with,4,5.6.IA-3 Device Identification and Authentication,5.6.IA-3,Uniquely identify and authenticate agency-managed devices before establishing network connections.,"HIPAA requires authentication of persons or entities seeking ePHI access; CJIS IA-3 requires device authentication. Both address authentication of entities accessing sensitive information systems. HIPAA focuses on persons; CJIS additionally covers devices."
164.312(e)(1),Transmission Security,Implement technical security measures to guard against unauthorized access to ePHI transmitted over electronic communications networks.,high,semantic,"HIPAA 164.312(e)(1) requires technical security measures to guard against unauthorized access to ePHI transmitted over networks. CJIS 5.10.SC-8 requires protecting the confidentiality and integrity of transmitted information. Both require technical controls protecting sensitive information in transit.",equal,10,5.10.SC-8 Transmission Confidentiality and Integrity,5.10.SC-8,Protect the confidentiality and integrity of transmitted information; metadata derived from unencrypted CJI shall be protected in the same manner as CJI.,"Both require technical security measures protecting the confidentiality and integrity of sensitive information transmitted over networks. HIPAA specifies ePHI; CJIS specifies CJI."
164.312(e)(1),Transmission Security,Implement technical security measures to guard against unauthorized access to ePHI transmitted over electronic communications networks.,high,semantic,"HIPAA 164.312(e)(1) requires transmission security. CJIS 5.10.SC-7 requires monitoring and controlling communications at external and internal managed interfaces. Both require controls protecting information transmitted over networks.",intersects_with,4,5.10.SC-7 Boundary Protection,5.10.SC-7,Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; implement subnetworks for publicly accessible system components.,"HIPAA requires technical measures for ePHI transmission security; CJIS SC-7 requires boundary protection controlling all communications at managed interfaces. Both protect transmitted information but at different levels. CJIS covers broader network security."
164.312(e)(2)(i),Integrity Controls,Implement security measures to ensure electronically transmitted ePHI is not improperly modified without detection.,high,semantic,"HIPAA 164.312(e)(2)(i) requires security measures ensuring transmitted ePHI is not improperly modified without detection. CJIS 5.10.SC-8(1) requires cryptographic mechanisms to prevent unauthorized disclosure and detect unauthorized changes during transmission. Both require integrity protection for information in transit.",equal,10,5.10.SC-8(1) Transmission Confidentiality and Integrity | Cryptographic Protection,5.10.SC-8(1),Implement cryptographic mechanisms to prevent unauthorized disclosure and detect unauthorized changes or access to CJI during transmission.,"Both require technical mechanisms ensuring transmitted sensitive information cannot be improperly modified without detection. HIPAA covers ePHI; CJIS covers CJI with specific cryptographic requirements."
164.312(e)(2)(i),Integrity Controls,Implement security measures to ensure electronically transmitted ePHI is not improperly modified without detection.,high,semantic,"HIPAA 164.312(e)(2)(i) requires transmission integrity controls. CJIS 5.10.SC-23 requires protecting the authenticity of communications sessions. Both require controls ensuring integrity and authenticity of transmitted information.",intersects_with,4,5.10.SC-23 Session Authenticity,5.10.SC-23,Protect the authenticity of communications sessions against man-in-the-middle attacks session hijacking and the insertion of false information into sessions.,"HIPAA requires detection of unauthorized modification of ePHI in transit; CJIS SC-23 requires session authenticity protection against tampering. Both address integrity of transmitted data."
164.312(e)(2)(ii),Encryption,Implement a mechanism to encrypt ePHI whenever deemed appropriate.,high,semantic,"HIPAA 164.312(e)(2)(ii) requires a mechanism to encrypt ePHI whenever deemed appropriate during transmission. CJIS 5.10.SC-13 requires determining use of encryption for CJI in transit and implementing FIPS 140-3 certified cryptographic modules. Both require encryption mechanisms for protecting sensitive information in transit.",equal,10,5.10.SC-13 Cryptographic Protection,5.10.SC-13,Determine the use of encryption for CJI in-transit when outside a physically secure location; implement FIPS 140-3 certified cryptographic modules with a symmetric cipher key of at least 128-bit strength for CJI in-transit.,"Both require encryption mechanisms for protecting sensitive information transmitted over networks. HIPAA specifies ePHI and leaves timing to discretion; CJIS requires FIPS 140-3 compliant encryption for CJI outside secure locations."
164.312(e)(2)(ii),Encryption,Implement a mechanism to encrypt ePHI whenever deemed appropriate.,high,semantic,"HIPAA 164.312(e)(2)(ii) requires transmission encryption. CJIS 5.10.SC-8(1) requires cryptographic mechanisms for transmission confidentiality and integrity of CJI. Both require cryptographic protection of sensitive information in transmission.",intersects_with,4,5.10.SC-8(1) Transmission Confidentiality and Integrity | Cryptographic Protection,5.10.SC-8(1),Implement cryptographic mechanisms to prevent unauthorized disclosure and detect unauthorized changes or access to CJI during transmission.,"HIPAA requires encryption of ePHI when appropriate; CJIS requires cryptographic protection of CJI during transmission. Both address transmission encryption but with different specificity levels. CJIS also covers integrity protection."
164.314(a)(1),Business Associate Contracts or Other Arrangements,The contract between covered entity and business associate must meet requirements of applicable paragraphs and must address material breaches.,high,semantic,"HIPAA 164.314(a)(1) requires contracts between covered entities and business associates to meet requirements and address material breaches. CJIS 5.1.1.5 requires private contractors to sign the CJIS Security Addendum and comply with all its provisions. Both require legally binding agreements governing third-party access to sensitive information.",equal,10,5.1.1.5 Private Contractor User Agreements and CJIS Security Addendum,5.1.1.5,Private contractors who perform criminal justice functions shall acknowledge via signing of the CJIS Security Addendum Certification page and abide by all aspects of the CJIS Security Addendum; modifications to the Security Addendum shall be enacted only by the FBI.,"Both require formal contractual agreements governing third-party handling of sensitive information with specific security provisions. HIPAA uses BACs; CJIS uses the Security Addendum."
164.314(a)(1),Business Associate Contracts or Other Arrangements,The contract between covered entity and business associate must meet requirements of applicable paragraphs and must address material breaches.,high,semantic,"HIPAA 164.314(a)(1) requires BA contracts to address material breaches. CJIS 5.1.2 requires regular monitoring and review of service provider services. Both require oversight of third-party security obligations.",intersects_with,4,5.1.2 Monitoring Review and Delivery of Services,5.1.2,The services reports and records provided by the service provider shall be regularly monitored and reviewed; the CJA shall maintain sufficient overall control and visibility into all security aspects.,"HIPAA requires contracts addressing compliance and breach response; CJIS requires ongoing monitoring of service provider compliance. Both ensure third parties meet security requirements."
164.314(a)(2),Business Associate Contracts,BA contracts must require BAs to implement administrative physical and technical safeguards and report security incidents.,high,semantic,"HIPAA 164.314(a)(2) requires BA contracts to specify implementation of administrative, physical, and technical safeguards and incident reporting. CJIS 5.1.1.5 requires private contractors to meet the same training and certification criteria and sign the Security Addendum committing to all CJIS security requirements. Both require contractual specification of security obligations for third parties.",equal,10,5.1.1.5 Private Contractor User Agreements and CJIS Security Addendum,5.1.1.5,Private contractors who perform criminal justice functions shall meet the same training and certification criteria required by governmental agencies and shall be subject to the same extent of audit review.,"Both require contractual specifications for third parties to implement all required security safeguards including administrative, physical, and technical controls and to report security incidents."
164.314(a)(2),Business Associate Contracts,BA contracts must require BAs to implement administrative physical and technical safeguards and report security incidents.,high,semantic,"HIPAA 164.314(a)(2) requires BA contracts to address incident reporting. CJIS 5.3.IR-6 requires reporting incidents within one hour of discovery. Both require timely reporting of security incidents.",intersects_with,4,5.3.IR-6 Incident Reporting,5.3.IR-6,Require personnel to report suspected incidents to the organizational incident response capability immediately but not to exceed one hour after discovery; report confirmed incidents to the CSO SIB Chief or Interface Agency Official.,"HIPAA requires BA contracts to specify incident reporting requirements; CJIS requires specific incident reporting timeframes. Both require timely incident reporting as a contractual or operational obligation."
164.314(b)(1),Requirements for Group Health Plans,Group health plans must ensure plan documents require plan sponsors to safeguard ePHI.,medium,semantic,"HIPAA 164.314(b)(1) requires group health plans to ensure plan documents require plan sponsors to safeguard ePHI. CJIS 5.1.1.4 requires NCJAs to sign a management control agreement stipulating that management control of the criminal justice function remains with the CJA. Both require formal arrangements ensuring that designated parties implement appropriate security safeguards.",intersects_with,3,5.1.1.4 Interagency and Management Control Agreements,5.1.1.4,A NCJA designated to perform criminal justice functions for a CJA shall sign and execute a management control agreement with the CJA which stipulates management control of the criminal justice function remains solely with the CJA.,"HIPAA requires plan documents specifying sponsor security obligations; CJIS requires MCAs for NCJAs. Both require formal agreements specifying security responsibilities in multi-entity arrangements. HIPAA applies to health plans and sponsors; CJIS applies to CJAs and NCJAs."
164.314(b)(2)(i),Implement Safeguards,Plan documents must require plan sponsors to implement administrative physical and technical safeguards for ePHI.,high,semantic,"HIPAA 164.314(b)(2)(i) requires plan documents to mandate implementation of administrative, physical, and technical safeguards for ePHI. CJIS 5.1.1 requires agencies putting formal agreements in place specifying security controls before exchanging CJI. Both require formal specification of required security safeguards in agreements governing sensitive information handling.",equal,10,5.1.1 Information Exchange,5.1.1,Before exchanging CJI agencies shall put formal agreements in place that specify security controls; information exchange agreements outline the roles responsibilities and data ownership between agencies and any external parties.,"Both require contractual/plan provisions specifying that all parties handling sensitive information implement required administrative, physical, and technical safeguards."
164.314(b)(2)(ii),Ensure Adequate Separation,Plan documents must require security measures to separate ePHI between plan sponsor and plan per §164.504(f)(2)(iii).,medium,semantic,"HIPAA 164.314(b)(2)(ii) requires adequate separation between health plan ePHI and plan sponsor operations through security measures. CJIS 5.5.AC-5 requires identification and documentation of separation of duties to mitigate risk to CJI. Both require logical separation to protect sensitive information from unauthorized access within shared organizational contexts.",intersects_with,3,5.5.AC-5 Separation of Duties,5.5.AC-5,Identify and document separation of duties based on specific duties operations or information systems as necessary to mitigate risk to CJI; define system access authorizations to support separation of duties.,"HIPAA requires security measures for organizational separation between health plan and plan sponsor; CJIS requires separation of duties within an organization. Both use separation principles to protect sensitive information."
164.314(b)(2)(ii),Ensure Adequate Separation,Plan documents must require security measures to separate ePHI between plan sponsor and plan per §164.504(f)(2)(iii).,medium,semantic,"HIPAA 164.314(b)(2)(ii) requires adequate separation. CJIS 5.10.SC-2 requires separating user functionality from system management functionality. Both require logical separation for security purposes.",intersects_with,3,5.10.SC-2 Separation of System and User Functionality,5.10.SC-2,Separate user functionality including user interface services from system management functionality.,"HIPAA requires organizational separation between plan and sponsor; CJIS requires technical separation of system and user functions. Both apply separation principles but in different contexts."
164.314(b)(2)(iii),Ensure Agents Safeguard,Ensure subcontractors agree to implement reasonable and appropriate security measures to protect ePHI.,high,semantic,"HIPAA 164.314(b)(2)(iii) requires ensuring subcontractors agree to implement appropriate security measures to protect ePHI. CJIS 5.1.1.8 requires contractors performing noncriminal justice functions on behalf of NCJAs to meet the same security criteria and be subject to the same audit review. Both require security obligations to flow down to subcontractors.",equal,10,5.1.1.8 Outsourcing Standards for Non-Channelers,5.1.1.8,Contractors designated to perform noncriminal justice ancillary functions shall be eligible for access to CJI; all contractors accessing CJI shall be subject to the terms and conditions described in the Compact Council Outsourcing Standard; contractors shall meet the same training and certification criteria.,"Both require subcontractors and downstream entities to implement the same security measures as the primary parties. HIPAA covers downstream handling of ePHI; CJIS covers contractors performing functions for NCJAs."
164.314(b)(2)(iv),Report Security Incidents,Plan sponsors must report security incidents to the group health plan.,high,semantic,"HIPAA 164.314(b)(2)(iv) requires plan sponsors to report security incidents to the group health plan. CJIS 5.3.IR-6 requires reporting incidents within one hour of discovery to organizational personnel and CSO. Both require security incident reporting between parties in a security relationship.",equal,10,5.3.IR-6 Incident Reporting,5.3.IR-6,Require personnel to report suspected incidents to the organizational incident response capability immediately but not to exceed one hour after discovery; report incident information to organizational personnel with incident handling responsibilities and if confirmed notify the CSO.,"Both require security incident reporting between parties in a security relationship. HIPAA requires plan sponsors to report to health plans; CJIS requires reporting to organizational incident response and CSO."
164.316(a),Policies and Procedures,Implement reasonable and appropriate policies and procedures to comply with standards implementation specifications and other requirements.,high,semantic,"HIPAA 164.316(a) requires implementing reasonable and appropriate policies and procedures to comply with HIPAA security standards. CJIS 5.15.SI-1 requires developing, documenting, and disseminating agency-level system and information integrity policy and procedures. Both require formal documented policies and procedures as the foundation for security compliance.",equal,10,5.15.SI-1 Policy and Procedures,5.15.SI-1,Develop document and disseminate agency-level system and information integrity policy that addresses purpose scope roles responsibilities management commitment coordination among organizational entities and compliance; review and update annually.,"Both require formal documented policies and procedures to ensure compliance with security requirements. HIPAA covers the full range of HIPAA security standards; CJIS covers system and information integrity as one of many policy areas."
164.316(a),Policies and Procedures,Implement reasonable and appropriate policies and procedures to comply with standards implementation specifications and other requirements.,high,semantic,"HIPAA 164.316(a) requires policies and procedures for all security areas. CJIS 5.5.AC-1 requires access control policy and procedures. Both require comprehensive documented security policies.",intersects_with,4,5.5.AC-1 Policy and Procedures,5.5.AC-1,Develop document and disseminate agency-level access control policy and procedures; review and update the current access control policy and procedures annually.,"HIPAA requires comprehensive security policies and procedures; CJIS requires specific access control policies. HIPAA is broader; CJIS focuses on access control. Both require documented security policies with regular review and update."
164.316(b)(1),Documentation,Maintain policies procedures and records of actions activities or assessments in written form.,high,semantic,"HIPAA 164.316(b)(1) requires maintaining policies, procedures, and records of security actions, activities, and assessments in written form. CJIS 5.17.PL-2 requires developing security and privacy plans and maintaining documentation of controls. Both require comprehensive documentation of security program elements.",equal,10,5.17.PL-2 System Security And Privacy Plans,5.17.PL-2,Develop security and privacy plans for the system describing the controls in place or planned for meeting security and privacy requirements; protect the plans from unauthorized disclosure and modification.,"Both require formal written documentation of security policies, procedures, and implementation details. HIPAA requires documentation of all required actions and activities; CJIS requires formal system security and privacy plans."
164.316(b)(1),Documentation,Maintain policies procedures and records of actions activities or assessments in written form.,high,semantic,"HIPAA 164.316(b)(1) requires documentation. CJIS 5.4.AU-12 requires generating audit records for defined event types. Both require records of system security activities.",intersects_with,4,5.4.AU-12 Audit Record Generation,5.4.AU-12,Provide audit record generation capability for required event types on all systems generating required audit logs; generate audit records that include the audit record content defined in AU-3.,"HIPAA requires documentation of security policies, procedures, and assessments; CJIS requires audit record generation for system activities. Both require maintaining records of security-relevant activities."
164.316(b)(2)(i),Time Limit,Retain documentation for 6 years from creation date or date when last in effect.,high,semantic,"HIPAA 164.316(b)(2)(i) requires retaining security documentation for 6 years from creation or last effective date. CJIS 5.4.AU-11 requires retaining audit records for a minimum of one year. Both require defined retention periods for security documentation and records.",intersects_with,4,5.4.AU-11 Audit Record Retention,5.4.AU-11,Retain audit records for a minimum of one year or until it is determined they are no longer needed for administrative legal audit or other operational purposes to provide support for after-the-fact investigations of incidents.,"HIPAA requires 6-year retention of security documentation; CJIS requires 1-year minimum retention of audit records. Both require defined retention periods but differ in duration and record type. HIPAA covers policies and procedures; CJIS covers audit records."
164.316(b)(2)(i),Time Limit,Retain documentation for 6 years from creation date or date when last in effect.,medium,semantic,"HIPAA 164.316(b)(2)(i) requires documentation retention. CJIS 5.2.AT-4 requires retaining individual training records for a minimum of three years. Both require defined retention periods for security-related records.",intersects_with,3,5.2.AT-4 Training Records,5.2.AT-4,Document and monitor information security and privacy training activities including security and privacy awareness training and specific role-based security and privacy training; retain individual training records for a minimum of three years.,"HIPAA requires 6-year retention of security documentation; CJIS requires 3-year retention of training records. Both require specific retention periods but differ in duration and document type."
164.316(b)(2)(ii),Availability,Make documentation available to those responsible for implementing procedures to which the documentation pertains.,high,semantic,"HIPAA 164.316(b)(2)(ii) requires making security documentation available to those responsible for implementing it. CJIS 5.17.PL-2 requires distributing copies of security and privacy plans to organizational personnel with system security and privacy responsibilities. Both require that security documentation be accessible to those who need to implement it.",equal,10,5.17.PL-2 System Security And Privacy Plans,5.17.PL-2,Distribute copies of the plans and communicate subsequent changes to the plans to organizational personnel with system security and privacy planning and plan implementation responsibilities; system developers; organizational personnel with information security and privacy responsibilities.,"Both require making security documentation available to those responsible for implementation. HIPAA specifies availability of procedures to implementers; CJIS specifies distribution of security plans to implementation personnel."
164.316(b)(2)(iii),Updates,Review documentation periodically and update as needed in response to environmental or operational changes.,high,semantic,"HIPAA 164.316(b)(2)(iii) requires periodic review and update of security documentation in response to environmental or operational changes. CJIS 5.17.PL-2 requires reviewing system security and privacy plans at least annually and updating them to address changes. Both require periodic review and update of security documentation.",equal,10,5.17.PL-2 System Security And Privacy Plans,5.17.PL-2,Review the system security and privacy plans at least annually or when required due to system changes or modifications; update the plans to address changes to the system and environment of operation or problems identified during plan implementation or control assessments.,"Both require periodic review and update of security documentation to reflect changes in the environment and operational conditions. HIPAA specifies environmental or operational changes as triggers; CJIS specifies annual review and update when changes occur."
