FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,GRC Toolkit Controls Requirement Title,Target ID #,GRC Toolkit Controls Requirement Description,Notes
RESPONSE-5a,"Documented procedures are established, followed, and maintained for activities in the RESPONSE domain","The activities in the RESPONSE domain are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, swim lane diagrams, or similar documentation). The activities are intentionally designed or described to serve the organization rather than being ad hoc. Documenting procedures helps ensure that they are repeatable and produce expected outcomes. The level of detail included in documentation should be a sufficient to enable consistent performance...",medium,functional,"C2M2 RESPONSE-5a requires The activities in the RESPONSE domain are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, swim lane diagrams, or simi.... GRC Toolkit Controls IRO-06 requires Mechanisms exist to formally test incident response capabilities through realistic exercises to determine the operational effectiveness of those capabilities.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Incident Response Testing,IRO-06,Mechanisms exist to formally test incident response capabilities through realistic exercises to determine the operational effectiveness of those capabilities.,"Overlap: incident response; audit and monitoring. Divergence: C2M2 emphasizes activities, diagrams, documented; GRC Toolkit Controls emphasizes incident, capabilities, determine."
RESPONSE-5b,"Adequate resources (people, funding, and tools) are provided to support activities in the RESPONSE domain","When determining the adequacy of resources, it may help to consider whether there are any RESPONSE domain activities not currently being performed that the organization would perform if it had additional people, funding, or tools. An additional consideration may be whether the organization has implemented all practices it has targeted for implementation and whether additional resources are necessary to address potential gaps. Adequate resources are provided in the form of people, funding, and...",medium,functional,"C2M2 RESPONSE-5b requires When determining the adequacy of resources, it may help to consider whether there are any RESPONSE domain activities not currently being performed that the organization would pe.... GRC Toolkit Controls RSK-06.1 requires Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Risk Response,RSK-06.1,"Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.","Shared scope: incident response; risk management; audit and monitoring. C2M2 additionally includes activities, domain, funding; GRC Toolkit Controls emphasizes risk, assessments, audits."
RESPONSE-5c,Up-to-date policies or other organizational directives define requirements for activities in the RESPONSE domain,"Activities in the RESPONSE domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives drive the development of documented policies or other organizational directives to ensure activities support the accomplishment of the organization’s mission. Policies or other organizational directives for RESPONSE domain activities may contain · responsibility, authority, and ownership for performing RESPONSE activitie...",medium,functional,"C2M2 RESPONSE-5c requires Activities in the RESPONSE domain receive documented guidance and direction from the organization in the form of policies or similar directives. Strategic business objectives dr.... GRC Toolkit Controls CPL-03 requires Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and o.... Both address governance and policy. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Cybersecurity & Data Protection Assessments,CPL-03,"Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's cybersecurity and data protection policies, standards and other applicable requirements.","Shared scope: governance and policy; audit and monitoring. C2M2 additionally includes response, activities, directives; GRC Toolkit Controls emphasizes data, protection, applicable."
RESPONSE-5d,"Responsibility, accountability, and authority for the performance of activities in the RESPONSE domain are assigned to personnel",The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of RESPONSE domain activities and that they are given the appropriate authority to act and to perform their assigned responsibilities. These are examples of how to formalize responsibility and authority for RESPONSE domain activities: · defining roles and responsibilities in policies (see RESPONSE-4c) · developing position descriptions and con...,medium,functional,C2M2 RESPONSE-5d requires The intent of this practice is that specific people (or people in specific roles) are held accountable for ensuring the achievement of expected results of RESPONSE domain activi.... GRC Toolkit Controls IRO-05 requires Mechanisms exist to train personnel in their incident response roles and responsibilities.. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Incident Response Training,IRO-05,Mechanisms exist to train personnel in their incident response roles and responsibilities.,"Overlap: access control; incident response. Divergence: C2M2 emphasizes activities, assigned, authority; GRC Toolkit Controls emphasizes incident, exist, mechanisms."
RESPONSE-5e,Personnel performing activities in the RESPONSE domain have the skills and knowledge needed to perform their assigned responsibilities,The organization must identify the skills and knowledge needed to perform RESPONSE domain activities and identify skill and knowledge gaps in existing personnel. The organization can address gaps either by hiring qualified personnel or training existing personnel. It is important to note that managing and securing many technologies (such as virtualized or cloud-based environments) require specific training in specialized equipment and practices. Care should be taken to ensure that the level o...,medium,functional,C2M2 RESPONSE-5e requires The organization must identify the skills and knowledge needed to perform RESPONSE domain activities and identify skill and knowledge gaps in existing personnel. The organizatio.... GRC Toolkit Controls IRO-05 requires Mechanisms exist to train personnel in their incident response roles and responsibilities.. Both address incident response. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Incident Response Training,IRO-05,Mechanisms exist to train personnel in their incident response roles and responsibilities.,"Overlap: incident response; governance and policy. Divergence: C2M2 emphasizes knowledge, activities, domain; GRC Toolkit Controls emphasizes incident, exist, mechanisms."
RESPONSE-5f,The effectiveness of activities in the RESPONSE domain is evaluated and tracked,"The organization should measure the performance of RESPONSE activities to ensure they are being performed as described in plans, policies, and procedures for the RESPONSE domain. Appropriate metrics should be developed and collected to detect deviations in performance and measure the extent to which RESPONSE domain activities are achieving their intended purpose.",medium,functional,"C2M2 RESPONSE-5f requires The organization should measure the performance of RESPONSE activities to ensure they are being performed as described in plans, policies, and procedures for the RESPONSE domain.... GRC Toolkit Controls RSK-06.1 requires Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.. Both address incident response. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Risk Response,RSK-06.1,"Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.","Shared scope: incident response; risk management. C2M2 additionally includes activities, domain, being; GRC Toolkit Controls emphasizes risk, assessments, audits."
THIRD-PARTIES-1a,"Important IT and OT third-party dependencies are identified (that is, internal and external parties on which the delivery of the function depends, including operating partners), at least in an ad hoc manner","Identify and maintain basic information about internal and external parties who may be required for continued performance of the function. Supplier dependencies, for example, might include IT service providers, incident response consultants, and equipment providers. Third parties may support the organization's IT or OT assets and operational activities. Such information should be maintained in a form that is available to those responsible for third-party risk management. Related Practices · P...",medium,functional,"C2M2 THIRD-PARTIES-1a requires Identify and maintain basic information about internal and external parties who may be required for continued performance of the function. Supplier dependencies, for example, mi.... GRC Toolkit Controls IAO-02.3 requires Mechanisms exist to accept and respond to the results of external assessments that are performed by impartial, external organizations.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Third-Party Assessments,IAO-02.3,"Mechanisms exist to accept and respond to the results of external assessments that are performed by impartial, external organizations.","Overlap: incident response; risk management. Divergence: C2M2 emphasizes function, internal, parties; GRC Toolkit Controls emphasizes assessments, accept, assurance."
THIRD-PARTIES-1b,"Third parties that have access to, control of, or custody of any IT, OT, or information assets that are important to the delivery of the function are identified, at least in an ad hoc manner","Create and maintain a list that provides basic information identifying important internal and external parties that have access to, control of, or custody of any IT, OT, or information assets. For some third parties, such as corporate IT, these important relationships may be entirely internal. Related Practices · Input From: Implementing ASSET-1a and ASSET-2a provides input that may be useful for implementing this practice. · Progression: This practice is part of a practice progression. Pract...",medium,functional,"C2M2 THIRD-PARTIES-1b requires Create and maintain a list that provides basic information identifying important internal and external parties that have access to, control of, or custody of any IT, OT, or info.... GRC Toolkit Controls MDM-11 requires Mechanisms exist to restrict the connectivity of unauthorized mobile devices from communicating with organizational Technology Assets, Applications and/or Services (TAAS).. Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Restricting Access To Authorized Technology Assets, Applications and/or Services (TAAS)",MDM-11,"Mechanisms exist to restrict the connectivity of unauthorized mobile devices from communicating with organizational Technology Assets, Applications and/or Services (TAAS).","Overlap: access control. Divergence: C2M2 emphasizes custody, have, important; GRC Toolkit Controls emphasizes applications, mobile, services."
THIRD-PARTIES-1c,A defined method is followed to identify risks arising from suppliers and other third parties,"A defined method is planned in advance, clearly described, made definite, and standardized. Employing a defined method to identify risks arising from suppliers and other third parties will aid the organization's risk management processes in producing consistent outputs and better enable effective management of third party risk. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent increasingly com...",medium,functional,"C2M2 THIRD-PARTIES-1c requires A defined method is planned in advance, clearly described, made definite, and standardized. Employing a defined method to identify risks arising from suppliers and other third p.... GRC Toolkit Controls VPM-06.6 requires Mechanisms exist to perform quarterly external vulnerability scans (outside the organization's network looking inward) via a reputable vulnerability service provider, which incl.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,External Vulnerability Assessment Scans,VPM-06.6,"Mechanisms exist to perform quarterly external vulnerability scans (outside the organization's network looking inward) via a reputable vulnerability service provider, which include rescans until passing results are obtained or all “high” vulnerabilities are resolved, as defined by the Common Vulnerability Scoring System (CVSS).","Overlap: risk management; third-party management. Divergence: C2M2 emphasizes method, advance, arising; GRC Toolkit Controls emphasizes vulnerability, external, scans."
THIRD-PARTIES-1d,"Third parties are prioritized according to established criteria (for example, importance to the delivery of the function, impact of a compromise or disruption, ability to negotiate cybersecurity requirements within contracts)","Prioritization of third parties establishes one or more subsets of entities on which the organization must focus its cybersecurity activities due to defined criteria, such as their importance to the delivery of the function or their role as a critical supplier. The prioritization and criteria should ensure that the prioritization scheme and the list of prioritized third parties are appropriate for the organization’s risk environment and tolerance. Failure to prioritize third parties may lead...",medium,functional,"C2M2 THIRD-PARTIES-1d requires Prioritization of third parties establishes one or more subsets of entities on which the organization must focus its cybersecurity activities due to defined criteria, such as th.... GRC Toolkit Controls TDA-04 requires Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe: (1) Secure configuration.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Documentation Requirements,TDA-04,"Mechanisms exist to obtain, protect and distribute administrator documentation for Technology Assets, Applications and/or Services (TAAS) that describe: (1) Secure configuration, installation and operation of the TAAS; (2) Effective use and maintenance of security features/functions; and (3) Known vulnerabilities regarding configuration and use of administrative (e.g., privileged) functions.","Overlap: access control; data protection. Divergence: C2M2 emphasizes criteria, delivery, function; GRC Toolkit Controls emphasizes configuration, documentation, taas."
THIRD-PARTIES-1e,"Escalated prioritization is assigned to suppliers and other third parties whose compromise or disruption could cause significant consequences (for example, single-source suppliers, suppliers with privileged access)","When establishing prioritization criteria, the organization should consider situations where reliance upon a third party could be a single point of failure or the disruption of a third-party service could have significant impact on service delivery. For example, if the organization relies upon a single source for wide area network connectivity at a critical site, this would be a high-priority dependency because disruption of that supply would have the potential to cause significant organizati...",medium,functional,"C2M2 THIRD-PARTIES-1e requires When establishing prioritization criteria, the organization should consider situations where reliance upon a third party could be a single point of failure or the disruption of.... GRC Toolkit Controls IAC-05.1 requires Mechanisms exist to ensure external service providers provide current and accurate information for any third-party user with access to the organization's data or assets.. Both address access control. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,Sharing Identification & Authentication Information,IAC-05.1,Mechanisms exist to ensure external service providers provide current and accurate information for any third-party user with access to the organization's data or assets.,"Shared scope: access control; third-party management. C2M2 additionally includes could, suppliers, disruption; GRC Toolkit Controls emphasizes authentication, identification, accurate."
THIRD-PARTIES-1f,"Prioritization of suppliers and other third parties is updated periodically and according to defined triggers, such as system changes and external events",The organization should review prioritization of third parties to ensure that third parties that pose the greatest risk to the function receive adequate attention. This reevaluation of third-party priority may be driven by a defined timeframe or by defined triggers such as the acquisition of a product from a new vendor or open source information about the financial standing of a company. Related Practices · Progression: This practice is part of a practice progression. Practice progressions ar...,medium,functional,"C2M2 THIRD-PARTIES-1f requires The organization should review prioritization of third parties to ensure that third parties that pose the greatest risk to the function receive adequate attention. This reevalua.... GRC Toolkit Controls VPM-06.6 requires Mechanisms exist to perform quarterly external vulnerability scans (outside the organization's network looking inward) via a reputable vulnerability service provider, which incl.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,External Vulnerability Assessment Scans,VPM-06.6,"Mechanisms exist to perform quarterly external vulnerability scans (outside the organization's network looking inward) via a reputable vulnerability service provider, which include rescans until passing results are obtained or all “high” vulnerabilities are resolved, as defined by the Common Vulnerability Scoring System (CVSS).","Overlap: risk management; third-party management. Divergence: C2M2 emphasizes parties, third, prioritization; GRC Toolkit Controls emphasizes vulnerability, scans, assessment."
THIRD-PARTIES-2a,"The selection of suppliers and other third parties includes consideration of their cybersecurity qualifications, at least in an ad hoc manner","The cybersecurity qualifications for suppliers and other third parties might include, for example, maintaining a specified level of cybersecurity control implementation, previous cyber incidents involving the third party, background checks for personnel who have access to critical assets, and requirements for reporting breaches and other cybersecurity incidents. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practi...",medium,functional,"C2M2 THIRD-PARTIES-2a requires The cybersecurity qualifications for suppliers and other third parties might include, for example, maintaining a specified level of cybersecurity control implementation, previou.... GRC Toolkit Controls IRO-04.1 requires Mechanisms exist to address data breaches, or other incidents involving the unauthorized disclosure of sensitive or regulated data, according to applicable laws, regulations and.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data Breach,IRO-04.1,"Mechanisms exist to address data breaches, or other incidents involving the unauthorized disclosure of sensitive or regulated data, according to applicable laws, regulations and contractual obligations.","Overlap: access control; incident response. Divergence: C2M2 emphasizes third, parties, qualifications; GRC Toolkit Controls emphasizes data, according, address."
THIRD-PARTIES-2b,"The selection of products and services includes consideration of their cybersecurity capabilities, at least in an ad hoc manner","The cybersecurity requirements for products and services might include, for example, ability to disable certain functionality of a product, a clear understanding of components used in a product, and terms of service for a service that meet cybersecurity requirements. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of related practices that represent increasingly complete or more advanced implementations of an activity. The pra...",medium,functional,"C2M2 THIRD-PARTIES-2b requires The cybersecurity requirements for products and services might include, for example, ability to disable certain functionality of a product, a clear understanding of components u.... GRC Toolkit Controls CFG-03 requires Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Least Functionality,CFG-03,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Overlap: none identified. Divergence: C2M2 emphasizes product, products, requirements; GRC Toolkit Controls emphasizes configuration, configure, essential."
THIRD-PARTIES-2c,A defined method is followed to identify cybersecurity requirements and implement associated controls that protect against the risks arising from suppliers and other third parties,"Cybersecurity requirements should be identified according to a defined methodology that is effective and clear. The requirements should include the controls needed to secure the products and services to address cybersecurity risks arising from suppliers and other third parties identified in the RISK domain.. Additional consideration should be given to third parties that are considered by the organization as high priority (THIRD-PARTIES-1c) because they supply, maintain, or operate critical so...",medium,functional,C2M2 THIRD-PARTIES-2c requires Cybersecurity requirements should be identified according to a defined methodology that is effective and clear. The requirements should include the controls needed to secure the.... GRC Toolkit Controls AAT-14 requires Mechanisms exist to take socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT).. Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,AI & Autonomous Technologies Requirements Definitions,AAT-14,Mechanisms exist to take socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT).,"Overlap: access control; risk management; audit and monitoring. Divergence: C2M2 emphasizes defined, according, against; GRC Toolkit Controls emphasizes autonomous, technologies, artificial."
THIRD-PARTIES-2d,A defined method is followed to evaluate and select suppliers and other third parties,"Using a defined method for evaluation and selection of third parties helps makes that process consistent and repeatable. For example, a part of the defined method could describe how the organization will review supplier responses to requests for proposals (RFPs) to determine if the supplier meets the necessary requirements. This may include consideration of cybersecurity qualifications, legal standing, financial wellbeing, and relationships to foreign governments. Sources of information may i...",medium,functional,"C2M2 THIRD-PARTIES-2d requires Using a defined method for evaluation and selection of third parties helps makes that process consistent and repeatable. For example, a part of the defined method could describe.... GRC Toolkit Controls MON-02.3 requires Automated mechanisms exist to integrate the analysis of audit records with analysis of vulnerability scanners, network performance, system monitoring and other sources to furthe.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Integration of Scanning & Other Monitoring Information,MON-02.3,"Automated mechanisms exist to integrate the analysis of audit records with analysis of vulnerability scanners, network performance, system monitoring and other sources to further enhance the ability to identify inappropriate or unusual activity.","Overlap: risk management; audit and monitoring. Divergence: C2M2 emphasizes defined, method, parties; GRC Toolkit Controls emphasizes monitoring, analysis, ability."
THIRD-PARTIES-2e,More rigorous cybersecurity controls are implemented for higher priority suppliers and other third parties,"Not all suppliers expose an organization to the same level of risk. Since contractually imposing specific cybersecurity requirements can result in increased costs, consideration should be taken to ensure cybersecurity requirements are proportional to potential risk. Additional consideration should be given to high priority suppliers (THIRD-PARTIES-1c) because they supply, maintain, or operate critical software components that are essential to the operation of the function. The definition of a...",medium,functional,"C2M2 THIRD-PARTIES-2e requires Not all suppliers expose an organization to the same level of risk. Since contractually imposing specific cybersecurity requirements can result in increased costs, consideration.... GRC Toolkit Controls PRI-07 requires Mechanisms exist to disclose Personal Data (PD) to third-parties only for the purposes identified in the data privacy notice and with the implicit or explicit consent of the dat.... Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Information Sharing With Third Parties,PRI-07,Mechanisms exist to disclose Personal Data (PD) to third-parties only for the purposes identified in the data privacy notice and with the implicit or explicit consent of the data subject.,"Overlap: none identified. Divergence: C2M2 emphasizes suppliers, expose, higher; GRC Toolkit Controls emphasizes data, privacy, consent."
THIRD-PARTIES-2f,"Cybersecurity requirements (for example, vulnerability notification, incident-related SLA requirements) are formalized in agreements with suppliers and other third parties","Requirements in the form of contractual specifications provide the basis for formal agreements that are established to define and govern the relationships between the organization and the actions of external entities, including changes that relate to delivered products or services. For each third-party agreement, the organization should establish a detailed set of specifications that the third party must meet. These should include the cybersecurity requirements that the organization expects t...",medium,functional,C2M2 THIRD-PARTIES-2f requires Requirements in the form of contractual specifications provide the basis for formal agreements that are established to define and govern the relationships between the organizati.... GRC Toolkit Controls TPM-05.1 requires Mechanisms exist to compel External Service Providers (ESPs) to provide notification of actual or potential compromises in the supply chain that can potentially affect or have a.... Both address incident response. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Security Compromise Notification Agreements,TPM-05.1,"Mechanisms exist to compel External Service Providers (ESPs) to provide notification of actual or potential compromises in the supply chain that can potentially affect or have adversely affected Technology Assets, Applications and/or Services (TAAS) that the organization utilizes.","Overlap: incident response; audit and monitoring; third-party management. Divergence: C2M2 emphasizes requirements, actions, basis; GRC Toolkit Controls emphasizes actual, adversely, affect."
THIRD-PARTIES-2g,Suppliers and other third parties periodically attest to their ability to meet cybersecurity requirements,"Agreements with suppliers and other third parties should require attestation that they meet cybersecurity requirements detailed in the agreement terms. Suppliers and third parties should initially attest to meeting these requirements before execution of the agreement, along with periodically attesting that they still meet the cybersecurity requirements. For key suppliers, additional validation of attestations may be considered. This may be performed through monitoring for incidents of note, i...",medium,functional,"C2M2 THIRD-PARTIES-2g requires Agreements with suppliers and other third parties should require attestation that they meet cybersecurity requirements detailed in the agreement terms. Suppliers and third parti.... GRC Toolkit Controls TPM-04.2 requires Mechanisms exist to require External Service Providers (ESPs) to identify and document the business need for ports, protocols and other services it requires to operate its Techn.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"External Connectivity Requirements - Identification of Ports, Protocols & Services",TPM-04.2,"Mechanisms exist to require External Service Providers (ESPs) to identify and document the business need for ports, protocols and other services it requires to operate its Technology Assets, Applications and/or Services (TAAS).","Overlap: audit and monitoring; third-party management. Divergence: C2M2 emphasizes meet, parties, suppliers; GRC Toolkit Controls emphasizes services, external, ports."
THIRD-PARTIES-2h,Cybersecurity requirements for suppliers and other third parties include secure software and secure product development requirements where appropriate,"The organization should have a standard process for setting secure software and product development requirements for third parties. For suppliers that will be developing software, for example, determine and specify what secure design and coding practices are acceptable, such as the NIST Secure Software Development Framework (SSDF), Building Security In Maturity Model (BSIMM), and Open Web Application Security Project (OWASP). Secure product development requirements might prohibit use of speci...",medium,functional,C2M2 THIRD-PARTIES-2h requires The organization should have a standard process for setting secure software and product development requirements for third parties. For suppliers that will be developing softwar.... GRC Toolkit Controls TDA-06 requires Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).. Both address security and privacy governance. They overlap in objective but differ in implementation detail or scope.,intersects_with,3,Secure Software Development Practices (SSDP),TDA-06,Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"Overlap: none identified. Divergence: C2M2 emphasizes requirements, parties, product; GRC Toolkit Controls emphasizes practices, ssdp, acquisition."
THIRD-PARTIES-2i,Selection criteria for products include consideration of end-of-life and end-of-support timelines,Third parties should be selected according to an organized and thorough process and according to explicit specifications and selection criteria. The selection process and criteria should be designed to ensure that the selected entity can fully meet the organization’s specifications as established. These criteria should include expected product life and product support periods. Related Practices · Progression: This practice is part of a practice progression. Practice progressions are groups of...,medium,functional,C2M2 THIRD-PARTIES-2i requires Third parties should be selected according to an organized and thorough process and according to explicit specifications and selection criteria. The selection process and criter.... GRC Toolkit Controls TDA-02.12 requires Mechanisms exist to categorize applicable security and resiliency requirements for products and/or services with digital elements.. Both address security and privacy governance. There is minimal meaningful overlap.,not_related,1,Products With Digital Elements,TDA-02.12,Mechanisms exist to categorize applicable security and resiliency requirements for products and/or services with digital elements.,"No substantive thematic overlap detected. Focal terms: according, criteria, selection. Target terms: digital, elements, acquisition."
THIRD-PARTIES-2j,"Selection criteria include consideration of safeguards against counterfeit or compromised software, hardware, and services","Third parties should be selected according to an organized and thorough process and according to explicit specifications and selection criteria. The selection process and criteria should be designed to ensure that the selected entity can fully meet the organization’s specifications as established. These criteria should include safeguards against counterfeit or compromised software, hardware, and services. For example: · Will the supplier disclose the existence of all known methods for bypassi...",medium,functional,"C2M2 THIRD-PARTIES-2j requires Third parties should be selected according to an organized and thorough process and according to explicit specifications and selection criteria. The selection process and criter.... GRC Toolkit Controls CLD-13.1 requires Mechanisms exist to authorize specified individuals to access External Service Providers (ESP) owned, operated and/or maintained external Technology Assets, Applications and/or.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,"Authorized Individuals For Hosted Assets, Applications & Services",CLD-13.1,"Mechanisms exist to authorize specified individuals to access External Service Providers (ESP) owned, operated and/or maintained external Technology Assets, Applications and/or Services (TAAS).","Overlap: access control; third-party management. Divergence: C2M2 emphasizes according, criteria, selection; GRC Toolkit Controls emphasizes applications, assets, external."
THIRD-PARTIES-2k,"Selection criteria for higher priority assets include evaluation of bills of material for key asset elements, such as hardware and software","The creation, manufacturing, and assembly of assets supplied by third-parties often comprise many sub-parts and sub-components sourced from other vendors and suppliers. Organizations that acquire these assets from third-parties may unknowingly inherit cyber risks that have not been identified or mitigated. A bill of materials establishes and itemizes the source of sub-parts and sub-components for acquired assets, including their origin and any additional information that can help the organiza...",medium,functional,"C2M2 THIRD-PARTIES-2k requires The creation, manufacturing, and assembly of assets supplied by third-parties often comprise many sub-parts and sub-components sourced from other vendors and suppliers. Organiza.... GRC Toolkit Controls TPM-04.1 requires Mechanisms exist to conduct a risk assessment prior to the acquisition or outsourcing of technology-related Technology Assets, Applications and/or Services (TAAS).. Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Third-Party Risk Assessments & Approvals,TPM-04.1,"Mechanisms exist to conduct a risk assessment prior to the acquisition or outsourcing of technology-related Technology Assets, Applications and/or Services (TAAS).","Overlap: risk management; third-party management. Divergence: C2M2 emphasizes third-parties, assembly, asset; GRC Toolkit Controls emphasizes risk, third-party, acquisition."
THIRD-PARTIES-2l,Selection criteria for higher priority assets include evaluation of any associated third-party hosting environments and source data,"Third parties should be selected according to an organized and thorough process and according to explicit specifications and selection criteria. The selection process and criteria should be designed to ensure that the selected entity can fully meet the organization’s specifications as established. For higher priority assets, these criteria should include the evaluation of associated third-party hosting environments and source data. Hosting environments and source data can be significant sourc...",medium,functional,"C2M2 THIRD-PARTIES-2l requires Third parties should be selected according to an organized and thorough process and according to explicit specifications and selection criteria. The selection process and criter.... GRC Toolkit Controls RSK-10 requires Mechanisms exist to conduct a Data Protection Impact Assessment (DPIA) on Technology Assets, Applications and/or Services (TAAS) that store, process and/or transmit Personal Dat.... Both address risk management. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Data Protection Impact Assessment (DPIA),RSK-10,"Mechanisms exist to conduct a Data Protection Impact Assessment (DPIA) on Technology Assets, Applications and/or Services (TAAS) that store, process and/or transmit Personal Data (PD) to identify and remediate reasonably-expected risks.","Overlap: risk management; data protection. Divergence: C2M2 emphasizes according, criteria, selection; GRC Toolkit Controls emphasizes assessment, dpia, impact."
THIRD-PARTIES-2m,Acceptance testing of procured assets includes consideration of cybersecurity requirements,"When the third party is responsible for producing or delivering assets to the organization, the monitoring process should include inspection/testing of the assets to ensure that they meet all stated specifications, including cybersecurity requirements. For example, if there is a requirement to remove all software components that are not required for the operation and/or maintenance of the procured product (games, source code, unused drivers), upon receipt the product could be tested for the i...",medium,functional,"C2M2 THIRD-PARTIES-2m requires When the third party is responsible for producing or delivering assets to the organization, the monitoring process should include inspection/testing of the assets to ensure that.... GRC Toolkit Controls CLD-13 requires Mechanisms exist to specify applicable cybersecurity and data protection controls that must be implemented on external Technology Assets, Applications and/or Services (TAAS), co.... Both address audit and monitoring. C2M2 covers broader scope than GRC Toolkit Controls.",superset_of,6,"Hosted Assets, Applications & Services",CLD-13,"Mechanisms exist to specify applicable cybersecurity and data protection controls that must be implemented on external Technology Assets, Applications and/or Services (TAAS), consistent with the contractual obligations established with the External Service Providers (ESP) owning, operating and/or maintaining external TAAS.","Shared scope: audit and monitoring; third-party management. C2M2 additionally includes requirements, testing, acceptance; GRC Toolkit Controls emphasizes external, applications, services."
THIRD-PARTIES-3a,"Documented procedures are established, followed, and maintained for activities in the THIRD-PARTIES domain","The activities in the THIRD-PARTIES domain are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, and swim lane diagrams). The activities are intentionally designed or described to serve the organization rather than being ad hoc. Documenting procedures helps ensure that they are repeatable and produce expected outcomes. The level of detail included in documentation should be a sufficient to enable consistent performance of domain activi...",medium,functional,"C2M2 THIRD-PARTIES-3a requires The activities in the THIRD-PARTIES domain are formally documented in some way (such as standard operating procedures, process flow diagrams, RACI charts, and swim lane diagrams.... GRC Toolkit Controls MON-01.8 requires Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.. Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Security Event Monitoring,MON-01.8,Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.,"Overlap: incident response; governance and policy. Divergence: C2M2 emphasizes third-parties, activities, diagrams; GRC Toolkit Controls emphasizes event, monitoring, accordance."
